level,region,target,feature,standardized_beta
global,ALL,EER,theta_power_drift,0.43034378840905985
global,ALL,EER,alpha_power_drift,-0.2573041844890639
global,ALL,EER,beta_power_drift,-0.17796644584079516
global,ALL,EER,gamma_power_drift,0.07947116509376345
global,ALL,AUC,theta_power_drift,-0.41248542787599873
global,ALL,AUC,alpha_power_drift,0.24829354597660028
global,ALL,AUC,beta_power_drift,0.10826494642027346
global,ALL,AUC,gamma_power_drift,-0.05629519061392052
region,Frontal,EER,theta_power_drift,0.01199378795626141
region,Frontal,EER,alpha_power_drift,-0.21309715717592193
region,Frontal,EER,beta_power_drift,-0.17828470550979392
region,Frontal,EER,gamma_power_drift,0.18663380979828723
region,Frontal,AUC,theta_power_drift,-0.029162604017289068
region,Frontal,AUC,alpha_power_drift,0.20011679109885006
region,Frontal,AUC,beta_power_drift,0.09096579605094171
region,Frontal,AUC,gamma_power_drift,-0.05849199266832979
region,Central/Motor,EER,theta_power_drift,0.2783413669899831
region,Central/Motor,EER,alpha_power_drift,-0.09249348444650013
region,Central/Motor,EER,beta_power_drift,-0.0743786058046471
region,Central/Motor,EER,gamma_power_drift,0.15447479098936068
region,Central/Motor,AUC,theta_power_drift,-0.2885247623889101
region,Central/Motor,AUC,alpha_power_drift,0.1302988133244574
region,Central/Motor,AUC,beta_power_drift,0.042747546826592264
region,Central/Motor,AUC,gamma_power_drift,-0.17845441874419066
region,Temporal,EER,theta_power_drift,0.6584509543408058
region,Temporal,EER,alpha_power_drift,-0.17335866053518512
region,Temporal,EER,beta_power_drift,0.31883100382061436
region,Temporal,EER,gamma_power_drift,-0.6531900102482159
region,Temporal,AUC,theta_power_drift,-0.6553574351954237
region,Temporal,AUC,alpha_power_drift,0.20121787803836355
region,Temporal,AUC,beta_power_drift,-0.39837472653394096
region,Temporal,AUC,gamma_power_drift,0.7054334831033113
region,Parietal,EER,theta_power_drift,0.2087904077431249
region,Parietal,EER,alpha_power_drift,-0.17211009524931994
region,Parietal,EER,beta_power_drift,-0.108725843453053
region,Parietal,EER,gamma_power_drift,0.03971200558849003
region,Parietal,AUC,theta_power_drift,-0.20985690766288237
region,Parietal,AUC,alpha_power_drift,0.14695939469569907
region,Parietal,AUC,beta_power_drift,0.11355626148796416
region,Parietal,AUC,gamma_power_drift,-0.09126977588335884
region,Occipital,EER,theta_power_drift,0.3703788672015673
region,Occipital,EER,alpha_power_drift,-0.32770480749942976
region,Occipital,EER,beta_power_drift,-0.4384504774727408
region,Occipital,EER,gamma_power_drift,0.3828790646687654
region,Occipital,AUC,theta_power_drift,-0.29636103924876606
region,Occipital,AUC,alpha_power_drift,0.23904663616139432
region,Occipital,AUC,beta_power_drift,0.38635572467244983
region,Occipital,AUC,gamma_power_drift,-0.3869457955364206
