session,subject,EER_baseline,EER_adapted
2,1,0.1777,0.1598
2,2,0.1737,0.1721
2,3,0.2223,0.2098
2,4,0.0905,0.0907
2,5,0.2138,0.2189
2,6,0.2097,0.204
2,7,0.6831,0.475
2,8,0.1219,0.1287
2,9,0.1225,0.1093
2,10,0.343,0.3276
2,11,0.2623,0.2552
2,12,0.0339,0.022
2,13,0.3512,0.3556
2,14,0.0665,0.0559
2,15,0.2617,0.2569
2,16,0.1277,0.107
3,1,0.2149,0.2039
3,2,0.3208,0.2849
3,3,0.3087,0.2777
3,4,0.132,0.1069
3,5,0.143,0.1462
3,6,0.1597,0.1345
3,7,0.6097,0.3997
3,8,0.1804,0.1818
3,9,0.1114,0.1082
3,10,0.3983,0.3834
3,11,0.2419,0.2344
3,12,0.0294,0.0212
3,13,0.3417,0.3252
3,14,0.1821,0.1718
3,15,0.2724,0.2627
3,16,0.1474,0.137
