subject,enroll_emotion_id,test_emotion_id,enroll_emotion,test_emotion,n_enroll,n_test,within_sim,cross_sim,drift_index
0,0,0,Disgust,Disgust,774,428,0.9558236002922058,0.96018385887146,-0.004561781883239746
0,0,1,Disgust,Fear,774,550,0.9558236002922058,0.9504109025001526,0.005662858486175537
0,0,2,Disgust,Sad,774,676,0.9558236002922058,0.9531745910644531,0.002771437168121338
0,0,3,Disgust,Neutral,774,525,0.9558236002922058,0.9522404074668884,0.003748774528503418
0,0,4,Disgust,Happy,774,489,0.9558236002922058,0.9511770606040955,0.004861295223236084
0,1,0,Fear,Disgust,936,428,0.9555597901344299,0.9606120586395264,-0.005287289619445801
0,1,1,Fear,Fear,936,550,0.9555597901344299,0.9505346417427063,0.0052588582038879395
0,1,2,Fear,Sad,936,676,0.9555597901344299,0.9539496898651123,0.0016849637031555176
0,1,3,Fear,Neutral,936,525,0.9555597901344299,0.9523354768753052,0.0033742785453796387
0,1,4,Fear,Happy,936,489,0.9555597901344299,0.9514183402061462,0.0043340325355529785
0,2,0,Sad,Disgust,1174,428,0.9553742408752441,0.9615882039070129,-0.006504178047180176
0,2,1,Sad,Fear,1174,550,0.9553742408752441,0.9510519504547119,0.004524171352386475
0,2,2,Sad,Sad,1174,676,0.9553742408752441,0.9544586539268494,0.0009583830833435059
0,2,3,Sad,Neutral,1174,525,0.9553742408752441,0.953299880027771,0.0021712779998779297
0,2,4,Sad,Happy,1174,489,0.9553742408752441,0.9519485235214233,0.0035857558250427246
0,3,0,Neutral,Disgust,894,428,0.9561893343925476,0.9616271257400513,-0.00568699836730957
0,3,1,Neutral,Fear,894,550,0.9561893343925476,0.9512165188789368,0.005200684070587158
0,3,2,Neutral,Sad,894,676,0.9561893343925476,0.9538733959197998,0.002422034740447998
0,3,3,Neutral,Neutral,894,525,0.9561893343925476,0.9536325931549072,0.0026738643646240234
0,3,4,Neutral,Happy,894,489,0.9561893343925476,0.9514533877372742,0.004952967166900635
0,4,0,Happy,Disgust,688,428,0.9558193683624268,0.9607778191566467,-0.005187630653381348
0,4,1,Happy,Fear,688,550,0.9558193683624268,0.9501734375953674,0.005906879901885986
0,4,2,Happy,Sad,688,676,0.9558193683624268,0.953622043132782,0.002298891544342041
0,4,3,Happy,Neutral,688,525,0.9558193683624268,0.952454686164856,0.003520190715789795
0,4,4,Happy,Happy,688,489,0.9558193683624268,0.9510883688926697,0.004949688911437988
1,0,0,Disgust,Disgust,779,428,0.9627771973609924,0.8439456224441528,0.12342584133148193
1,0,1,Disgust,Fear,779,550,0.9627771973609924,0.9272501468658447,0.03690057992935181
1,0,2,Disgust,Sad,779,676,0.9627771973609924,0.8563506603240967,0.11054116487503052
1,0,3,Disgust,Neutral,779,525,0.9627771973609924,0.8930577039718628,0.07241499423980713
1,0,4,Disgust,Happy,779,489,0.9627771973609924,0.7889982461929321,0.18049758672714233
1,1,0,Fear,Disgust,930,428,0.9631400108337402,0.8468366861343384,0.12075430154800415
1,1,1,Fear,Fear,930,550,0.9631400108337402,0.9290846586227417,0.03535866737365723
1,1,2,Fear,Sad,930,676,0.9631400108337402,0.8586825132369995,0.10845518112182617
1,1,3,Fear,Neutral,930,525,0.9631400108337402,0.8951385021209717,0.07060396671295166
1,1,4,Fear,Happy,930,489,0.9631400108337402,0.7921216487884521,0.1775633692741394
1,2,0,Sad,Disgust,1191,428,0.9623215794563293,0.8452667593955994,0.12163794040679932
1,2,1,Sad,Fear,1191,550,0.9623215794563293,0.928964376449585,0.034663259983062744
1,2,2,Sad,Sad,1191,676,0.9623215794563293,0.8582127094268799,0.10818511247634888
1,2,3,Sad,Neutral,1191,525,0.9623215794563293,0.8953405618667603,0.0696035623550415
1,2,4,Sad,Happy,1191,489,0.9623215794563293,0.7904337644577026,0.17861783504486084
1,3,0,Neutral,Disgust,877,428,0.9614229798316956,0.8453118801116943,0.12077003717422485
1,3,1,Neutral,Fear,877,550,0.9614229798316956,0.928036093711853,0.03472656011581421
1,3,2,Neutral,Sad,877,676,0.9614229798316956,0.8577308654785156,0.1078527569770813
1,3,3,Neutral,Neutral,877,525,0.9614229798316956,0.8937088847160339,0.07043111324310303
1,3,4,Neutral,Happy,877,489,0.9614229798316956,0.7896689176559448,0.17864567041397095
1,4,0,Happy,Disgust,689,428,0.9617179036140442,0.8444218635559082,0.12196511030197144
1,4,1,Happy,Fear,689,550,0.9617179036140442,0.9273040294647217,0.03578376770019531
1,4,2,Happy,Sad,689,676,0.9617179036140442,0.8571287393569946,0.10875242948532104
1,4,3,Happy,Neutral,689,525,0.9617179036140442,0.8933756351470947,0.07106268405914307
1,4,4,Happy,Happy,689,489,0.9617179036140442,0.7885780930519104,0.18003177642822266
2,0,0,Disgust,Disgust,729,428,0.9617043733596802,0.9115020632743835,0.05220139026641846
2,0,1,Disgust,Fear,729,550,0.9617043733596802,0.9206219911575317,0.04271829128265381
2,0,2,Disgust,Sad,729,676,0.9617043733596802,0.9177579879760742,0.045696377754211426
2,0,3,Disgust,Neutral,729,525,0.9617043733596802,0.8924532532691956,0.07200872898101807
2,0,4,Disgust,Happy,729,489,0.9617043733596802,0.8517439365386963,0.11433911323547363
2,1,0,Fear,Disgust,917,428,0.9615644812583923,0.9100540280342102,0.05356943607330322
2,1,1,Fear,Fear,917,550,0.9615644812583923,0.9203869700431824,0.0428234338760376
2,1,2,Fear,Sad,917,676,0.9615644812583923,0.9156224131584167,0.04777848720550537
2,1,3,Fear,Neutral,917,525,0.9615644812583923,0.8903692364692688,0.07404106855392456
2,1,4,Fear,Happy,917,489,0.9615644812583923,0.8539025783538818,0.1119653582572937
2,2,0,Sad,Disgust,1236,428,0.9617797136306763,0.9107293486595154,0.053079068660736084
2,2,1,Sad,Fear,1236,550,0.9617797136306763,0.9208672046661377,0.042538344860076904
2,2,2,Sad,Sad,1236,676,0.9617797136306763,0.9162111282348633,0.04737943410873413
2,2,3,Sad,Neutral,1236,525,0.9617797136306763,0.891004204750061,0.07358807325363159
2,2,4,Sad,Happy,1236,489,0.9617797136306763,0.8545972108840942,0.11144185066223145
2,3,0,Neutral,Disgust,935,428,0.9617177844047546,0.9098657369613647,0.053916096687316895
2,3,1,Neutral,Fear,935,550,0.9617177844047546,0.9202806353569031,0.04308658838272095
2,3,2,Neutral,Sad,935,676,0.9617177844047546,0.9153021574020386,0.04826325178146362
2,3,3,Neutral,Neutral,935,525,0.9617177844047546,0.8900583982467651,0.07451188564300537
2,3,4,Neutral,Happy,935,489,0.9617177844047546,0.8543563485145569,0.11163508892059326
2,4,0,Happy,Disgust,649,428,0.9613660573959351,0.9108171463012695,0.052580296993255615
2,4,1,Happy,Fear,649,550,0.9613660573959351,0.9204632639884949,0.04254651069641113
2,4,2,Happy,Sad,649,676,0.9613660573959351,0.9168642163276672,0.04629021883010864
2,4,3,Happy,Neutral,649,525,0.9613660573959351,0.8914697170257568,0.0727052092552185
2,4,4,Happy,Happy,649,489,0.9613660573959351,0.853342592716217,0.11236453056335449
3,0,0,Disgust,Disgust,795,428,0.9507145881652832,0.9134386777877808,0.039208292961120605
3,0,1,Disgust,Fear,795,550,0.9507145881652832,0.8966373205184937,0.0568806529045105
3,0,2,Disgust,Sad,795,676,0.9507145881652832,0.9595953822135925,-0.009341120719909668
3,0,3,Disgust,Neutral,795,525,0.9507145881652832,0.9375062584877014,0.013893067836761475
3,0,4,Disgust,Happy,795,489,0.9507145881652832,0.8926411867141724,0.061083972454071045
3,1,0,Fear,Disgust,881,428,0.9499722123146057,0.9120479822158813,0.03992140293121338
3,1,1,Fear,Fear,881,550,0.9499722123146057,0.8949370384216309,0.05793344974517822
3,1,2,Fear,Sad,881,676,0.9499722123146057,0.9585306644439697,-0.009009122848510742
3,1,3,Fear,Neutral,881,525,0.9499722123146057,0.9353988170623779,0.015340864658355713
3,1,4,Fear,Happy,881,489,0.9499722123146057,0.8903841972351074,0.06272608041763306
3,2,0,Sad,Disgust,1165,428,0.950100302696228,0.9125818610191345,0.039488911628723145
3,2,1,Sad,Fear,1165,550,0.950100302696228,0.894156813621521,0.05888164043426514
3,2,2,Sad,Sad,1165,676,0.950100302696228,0.9582890868186951,-0.008618831634521484
3,2,3,Sad,Neutral,1165,525,0.950100302696228,0.9355823993682861,0.015280365943908691
3,2,4,Sad,Happy,1165,489,0.950100302696228,0.8907643556594849,0.06245231628417969
3,3,0,Neutral,Disgust,940,428,0.9495750069618225,0.9133609533309937,0.03813713788986206
3,3,1,Neutral,Fear,940,550,0.9495750069618225,0.8960683345794678,0.05634802579879761
3,3,2,Neutral,Sad,940,676,0.9495750069618225,0.9592953324317932,-0.010236501693725586
3,3,3,Neutral,Neutral,940,525,0.9495750069618225,0.9363390207290649,0.013938844203948975
3,3,4,Neutral,Happy,940,489,0.9495750069618225,0.8917543888092041,0.060891032218933105
3,4,0,Happy,Disgust,685,428,0.9489719867706299,0.9127347469329834,0.03818577527999878
3,4,1,Happy,Fear,685,550,0.9489719867706299,0.8952499628067017,0.05661076307296753
3,4,2,Happy,Sad,685,676,0.9489719867706299,0.9589178562164307,-0.010480642318725586
3,4,3,Happy,Neutral,685,525,0.9489719867706299,0.9357684254646301,0.013913512229919434
3,4,4,Happy,Happy,685,489,0.9489719867706299,0.8909469246864319,0.06114518642425537
4,0,0,Disgust,Disgust,737,428,0.9496841430664062,0.8955303430557251,0.05702298879623413
4,0,1,Disgust,Fear,737,550,0.9496841430664062,0.9267824292182922,0.02411508560180664
4,0,2,Disgust,Sad,737,676,0.9496841430664062,0.9523661732673645,-0.0028241872787475586
4,0,3,Disgust,Neutral,737,525,0.9496841430664062,0.9467347860336304,0.003105640411376953
4,0,4,Disgust,Happy,737,489,0.9496841430664062,0.9454436898231506,0.0044651031494140625
4,1,0,Fear,Disgust,917,428,0.9497014284133911,0.8956497311592102,0.05691438913345337
4,1,1,Fear,Fear,917,550,0.9497014284133911,0.926737368106842,0.024180293083190918
4,1,2,Fear,Sad,917,676,0.9497014284133911,0.9521052241325378,-0.0025310516357421875
4,1,3,Fear,Neutral,917,525,0.9497014284133911,0.9469909071922302,0.0028540492057800293
4,1,4,Fear,Happy,917,489,0.9497014284133911,0.9454951286315918,0.0044291019439697266
4,2,0,Sad,Disgust,1202,428,0.9478797912597656,0.8950068950653076,0.05578017234802246
4,2,1,Sad,Fear,1202,550,0.9478797912597656,0.9266834259033203,0.0223618745803833
