enroll_emotion,test_emotion,EER,AUC,genuine_scores,impostor_scores
Disgust,Disgust,0.07828076323987539,0.9752705150911561,6848,102720
Disgust,Fear,0.06931060606060606,0.9767617996728651,8800,132000
Disgust,Sad,0.08468934911242604,0.9702418071235324,10816,162240
Disgust,Neutral,0.06855555555555555,0.9774123974867723,8400,126000
Disgust,Happy,0.07075664621676891,0.9755862797365141,7824,117360
Fear,Disgust,0.07850467289719626,0.9754950410175015,6848,102720
Fear,Fear,0.06925757575757575,0.9769576825068872,8800,132000
Fear,Sad,0.08409763313609467,0.970509781114052,10816,162240
Fear,Neutral,0.06903174603174603,0.9775888959750567,8400,126000
Fear,Happy,0.07005794137695978,0.9758131822731309,7824,117360
Sad,Disgust,0.07883566978193146,0.9755883421575666,6848,102720
Sad,Fear,0.06756060606060606,0.9770827186639119,8800,132000
Sad,Sad,0.08476947731755424,0.9705813587128573,10816,162240
Sad,Neutral,0.0682063492063492,0.9777170828609222,8400,126000
Sad,Happy,0.07022835719154738,0.9759316091757241,7824,117360
Neutral,Disgust,0.07852414330218069,0.9755028534890693,6848,102720
Neutral,Fear,0.06711363636363636,0.9768495717114325,8800,132000
Neutral,Sad,0.08410996055226824,0.9704308259852086,10816,162240
Neutral,Neutral,0.06907142857142858,0.9775242951625094,8400,126000
Neutral,Happy,0.07145535105657805,0.9756963443063345,7824,117360
Happy,Disgust,0.07678154205607476,0.9753340874703395,6848,102720
Happy,Fear,0.06795454545454545,0.9766964712465566,8800,132000
Happy,Sad,0.08505917159763314,0.9702521009605356,10816,162240
Happy,Neutral,0.06918253968253968,0.9773518414588057,8400,126000
Happy,Happy,0.07042433537832311,0.9755567771520485,7824,117360
