subject,subject_EER,subject_AUC,adaptive_threshold
1,0.3802118171683389,0.704489002966037,-12.852750778198242
2,0.3266234671125976,0.7491803899471668,-10.719820022583008
3,0.18252508361204012,0.9069361713072747,-13.434951782226562
4,0.3745680044593088,0.7042711234587234,-13.222246170043945
5,0.36645066889632105,0.7159454676704772,-15.35646915435791
6,0.4458333333333333,0.6218719676653506,-12.56956958770752
7,0.502870680044593,0.587397499224002,-19.28340721130371
8,0.3090440356744705,0.7733400065085961,-12.212060928344727
9,0.19418896321070234,0.8907625896359287,-13.256701469421387
10,0.4333542363433668,0.6049848290054548,-13.52765941619873
11,0.1632107023411371,0.9017531219938815,-11.570452690124512
12,0.10036231884057972,0.9579897036945896,-19.76592254638672
13,0.425891861761427,0.6672129544249132,-12.066011428833008
14,0.04995122630992194,0.990713893137847,-11.93703556060791
15,0.2911580267558529,0.8021832124943606,-11.333982467651367
16,0.33196767001114824,0.7479029949445941,-13.811616897583008
