session_file,session_index,emotion_id,emotion,channel,region,n_windows,theta_power,alpha_power,beta_power,gamma_power
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,FP1,Frontal,5392,0.017151495441794395,0.005408073775470257,0.004921578336507082,0.0038662180304527283
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,FPZ,Frontal,5392,0.01785091683268547,0.005402798298746347,0.004110305104404688,0.00328301964327693
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,FP2,Frontal,5392,0.016717281192541122,0.005263582803308964,0.004997974261641502,0.004141774959862232
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,AF3,Frontal,5392,0.01885952427983284,0.0074748992919921875,0.004967220593243837,0.0032116291113197803
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,AF4,Frontal,5392,0.01923234947025776,0.007712612394243479,0.004895187448710203,0.003143786685541272
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,F7,Frontal,5392,0.015787042677402496,0.007829559966921806,0.00468278955668211,0.0033608614467084408
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,F5,Frontal,5392,0.01703077182173729,0.0083841597661376,0.004948620684444904,0.0032657820265740156
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,F3,Frontal,5392,0.019049378111958504,0.009861194528639317,0.0058725676499307156,0.003153894329443574
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,F1,Frontal,5392,0.022494375705718994,0.011523681692779064,0.00501609779894352,0.002133917761966586
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,FZ,Frontal,5392,0.024868769571185112,0.012971540912985802,0.004494830034673214,0.0016566637204959989
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,F2,Frontal,5392,0.022980861365795135,0.011786035262048244,0.004870679695159197,0.002088498556986451
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,F4,Frontal,5392,0.019844286143779755,0.009979620575904846,0.00623686145991087,0.0034016845747828484
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,F6,Frontal,5392,0.016368139535188675,0.007916256785392761,0.00616029929369688,0.004345877096056938
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,F8,Frontal,5392,0.014737539924681187,0.00682722358033061,0.005037673749029636,0.004082235042005777
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,FT7,Temporal,5392,0.014017956331372261,0.009180869907140732,0.008823883719742298,0.00717468187212944
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,FC5,Frontal,5392,0.014592910185456276,0.010531757958233356,0.008257954381406307,0.005934916436672211
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,FC3,Frontal,5392,0.01901361159980297,0.014313193038105965,0.006610539276152849,0.003479745937511325
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,FC1,Frontal,5392,0.023723958060145378,0.01488159503787756,0.005856556352227926,0.002547055948525667
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,FCZ,Frontal,5392,0.02790258452296257,0.014971572905778885,0.0050057885237038136,0.0018771105678752065
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,FC2,Frontal,5392,0.02383485995233059,0.013780253008008003,0.0059782336466014385,0.0029086926952004433
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,FC4,Frontal,5392,0.01977788656949997,0.014106226153671741,0.007516299374401569,0.004393932409584522
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,FC6,Frontal,5392,0.014358723536133766,0.010990878567099571,0.008600049652159214,0.006461963057518005
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,FT8,Temporal,5392,0.013223443180322647,0.009280978702008724,0.008352038450539112,0.0070665143430233
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,T7,Temporal,5392,0.011211433447897434,0.008195260539650917,0.013524414040148258,0.012616041116416454
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,C5,Central/Motor,5392,0.014677074737846851,0.01149620022624731,0.0096749197691679,0.007022349629551172
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,C3,Central/Motor,5392,0.01746908389031887,0.016310347244143486,0.0073343380354344845,0.0042648050002753735
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,C1,Central/Motor,5392,0.021567918360233307,0.01580057665705681,0.005446816328912973,0.00242930487729609
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,CZ,Central/Motor,5392,0.02529069595038891,0.014659101143479347,0.004544782917946577,0.0017309031682088971
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,C2,Central/Motor,5392,0.022006789222359657,0.014735473319888115,0.005418187938630581,0.002602327847853303
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,C4,Central/Motor,5392,0.017359884455800056,0.01654524728655815,0.007756233215332031,0.005005784332752228
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,C6,Central/Motor,5392,0.014336428605020046,0.012887897901237011,0.009773648343980312,0.006893150508403778
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,T8,Temporal,5392,0.011425908654928207,0.009349793195724487,0.012436827644705772,0.011361876502633095
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,TP7,Temporal,5392,0.01641860045492649,0.008603783324360847,0.008154220879077911,0.006529043894261122
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,CP5,Parietal,5392,0.017090879380702972,0.011629697866737843,0.006715336814522743,0.004508353304117918
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,CP3,Parietal,5392,0.017460277304053307,0.014068127609789371,0.005878131836652756,0.003323829034343362
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,CP1,Parietal,5392,0.019482234492897987,0.014158084988594055,0.004732826724648476,0.0020415913313627243
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,CPZ,Parietal,5392,0.021522946655750275,0.014193120412528515,0.003906831610947847,0.0012961220927536488
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,CP2,Parietal,5392,0.020313525572419167,0.014147577807307243,0.00455628102645278,0.002054218901321292
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,CP4,Parietal,5392,0.018015246838331223,0.014558275230228901,0.006083355750888586,0.0037471801042556763
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,CP6,Parietal,5392,0.017020486295223236,0.012646986171603203,0.006506863050162792,0.004532863851636648
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,TP8,Temporal,5392,0.013804260641336441,0.009628068655729294,0.011245320551097393,0.00931006483733654
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,P7,Parietal,5392,0.01851249299943447,0.009826330468058586,0.006840123794972897,0.004972942639142275
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,P5,Parietal,5392,0.018410896882414818,0.011762098409235477,0.006106699351221323,0.003683096496388316
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,P3,Parietal,5392,0.018828950822353363,0.013050858862698078,0.005915006157010794,0.0033202916383743286
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,P1,Parietal,5392,0.021548524498939514,0.013464991934597492,0.004480244126170874,0.0017680047312751412
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,PZ,Parietal,5392,0.02365672029554844,0.013873063027858734,0.004041269421577454,0.001215206691995263
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,P2,Parietal,5392,0.02359524369239807,0.013925100676715374,0.00430872431024909,0.0015119005693122745
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,P4,Parietal,5392,0.019763700664043427,0.01313007716089487,0.005559060722589493,0.0031862284522503614
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,P6,Parietal,5392,0.01841527782380581,0.011738911271095276,0.00613152701407671,0.004004384391009808
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,P8,Parietal,5392,0.017105722799897194,0.009955640882253647,0.006895402446389198,0.004757735878229141
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,PO7,Occipital,5392,0.01723572053015232,0.009028865955770016,0.005806160159409046,0.004248518496751785
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,PO5,Occipital,5392,0.017100539058446884,0.010241283103823662,0.006156636867672205,0.004318230785429478
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,PO3,Occipital,5392,0.018951019272208214,0.011583189480006695,0.005260700359940529,0.0031876806169748306
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,POZ,Occipital,5392,0.0214775949716568,0.011158301495015621,0.004583199042826891,0.00232026819139719
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,PO4,Occipital,5392,0.020683810114860535,0.011580939404666424,0.004940183367580175,0.0026489365845918655
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,PO6,Occipital,5392,0.018165791407227516,0.0103590227663517,0.00585741875693202,0.004125638399273157
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,PO8,Occipital,5392,0.017749959602952003,0.009581358171999454,0.006059225182980299,0.004354631528258324
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,CB1,Occipital,5392,0.018333036452531815,0.00863065104931593,0.0053809336386621,0.0036204506177455187
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,O1,Occipital,5392,0.017378777265548706,0.008746357634663582,0.005449714604765177,0.004033511038869619
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,OZ,Occipital,5392,0.018451310694217682,0.008634376339614391,0.004856399726122618,0.003277912735939026
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,O2,Occipital,5392,0.018328459933400154,0.008729553781449795,0.004910890478640795,0.0033776480704545975
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,CB2,Occipital,5392,0.017781376838684082,0.008104340173304081,0.004970636684447527,0.0035712511744350195
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,FP1,Frontal,8672,0.015514427796006203,0.006612153258174658,0.004918655846267939,0.0037610107101500034
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,FPZ,Frontal,8672,0.016872819513082504,0.007467480842024088,0.003947670571506023,0.002682195045053959
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,FP2,Frontal,8672,0.015439624898135662,0.006973503157496452,0.004907392896711826,0.0038592806085944176
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,AF3,Frontal,8672,0.01778840832412243,0.009430794045329094,0.004599080886691809,0.0028893984854221344
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,AF4,Frontal,8672,0.0179028008133173,0.009717581793665886,0.0045455340296030045,0.002835222752764821
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,F7,Frontal,8672,0.013798239640891552,0.00876598060131073,0.0039635319262743,0.0028677049558609724
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,F5,Frontal,8672,0.01530920434743166,0.009486050345003605,0.004491252359002829,0.0030300267972052097
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,F3,Frontal,8672,0.01755393110215664,0.01140064001083374,0.005283836741000414,0.002968390006572008
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,F1,Frontal,8672,0.02129584178328514,0.01359422504901886,0.0046714795753359795,0.0020854047033935785
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,FZ,Frontal,8672,0.023889195173978806,0.015580330044031143,0.004345444031059742,0.0016510651912540197
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,F2,Frontal,8672,0.021854175254702568,0.014391538687050343,0.004673426505178213,0.002110197441652417
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,F4,Frontal,8672,0.018315522000193596,0.011967982165515423,0.005896486807614565,0.003510772017762065
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,F6,Frontal,8672,0.014764940366148949,0.009479657746851444,0.005693744868040085,0.004317011684179306
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,F8,Frontal,8672,0.013338644057512283,0.007850926369428635,0.004681341350078583,0.003721900749951601
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,FT7,Temporal,8672,0.013061673380434513,0.010695056058466434,0.007250045891851187,0.0057345968671143055
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,FC5,Frontal,8672,0.012967439368367195,0.011313932947814465,0.0074990554712712765,0.005365259014070034
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,FC3,Frontal,8672,0.017645085230469704,0.01505978498607874,0.006340912543237209,0.003382395952939987
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,FC1,Frontal,8672,0.022357309237122536,0.01685226708650589,0.005669461563229561,0.0024892978835850954
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,FCZ,Frontal,8672,0.027371305972337723,0.01813054457306862,0.004863292444497347,0.0018098880536854267
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,FC2,Frontal,8672,0.023149358108639717,0.016816893592476845,0.005589727312326431,0.0025108137633651495
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,FC4,Frontal,8672,0.019153228029608727,0.016221294179558754,0.006997254677116871,0.003895433386787772
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,FC6,Frontal,8672,0.013777438551187515,0.012642123736441135,0.007828416302800179,0.00570733193308115
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,FT8,Temporal,8672,0.012184095568954945,0.010407565161585808,0.007484323810786009,0.005934595596045256
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,T7,Temporal,8672,0.011713553220033646,0.010283390060067177,0.012059658765792847,0.010552207939326763
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,C5,Central/Motor,8672,0.01386332232505083,0.012344151735305786,0.009282441809773445,0.006429337430745363
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,C3,Central/Motor,8672,0.016681063920259476,0.01637621410191059,0.007059596944600344,0.003952675499022007
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,C1,Central/Motor,8672,0.020126229152083397,0.017626672983169556,0.005305914673954248,0.0023883702233433723
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,CZ,Central/Motor,8672,0.024024659767746925,0.017552301287651062,0.004276677966117859,0.00153967528603971
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,C2,Central/Motor,8672,0.021161986514925957,0.01707632839679718,0.005007346626371145,0.002148994244635105
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,C4,Central/Motor,8672,0.017476940527558327,0.01739911362528801,0.0071721747517585754,0.004201268311589956
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,C6,Central/Motor,8672,0.014060833491384983,0.013553932309150696,0.009363727644085884,0.0065132384188473225
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,T8,Temporal,8672,0.011721068061888218,0.010387817397713661,0.011002919636666775,0.009799406863749027
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,TP7,Temporal,8672,0.015575248748064041,0.011036262847483158,0.008231870830059052,0.006396835204213858
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,CP5,Parietal,8672,0.016308056190609932,0.013764692470431328,0.006704988889396191,0.0043873717077076435
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,CP3,Parietal,8672,0.016529666259884834,0.015699658542871475,0.005660194903612137,0.0030161386821419
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,CP1,Parietal,8672,0.017703160643577576,0.01583786867558956,0.004580457229167223,0.001961669186130166
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,CPZ,Parietal,8672,0.019548239186406136,0.01614219881594181,0.003653529565781355,0.0011300216428935528
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,CP2,Parietal,8672,0.01822575181722641,0.015520407818257809,0.004262970760464668,0.0017374161398038268
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,CP4,Parietal,8672,0.016570081934332848,0.015494761988520622,0.005757656414061785,0.003288865787908435
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,CP6,Parietal,8672,0.015850316733121872,0.012467743828892708,0.006253273691982031,0.004447365645319223
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,TP8,Temporal,8672,0.013558754697442055,0.010682951658964157,0.010769540444016457,0.009402493014931679
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,P7,Parietal,8672,0.017686689272522926,0.013406426645815372,0.006817313376814127,0.004739656578749418
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,P5,Parietal,8672,0.016758499667048454,0.016006940975785255,0.006386164575815201,0.0038143687415868044
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,P3,Parietal,8672,0.016507498919963837,0.01705417037010193,0.005950116086751223,0.003355105174705386
