level,region,predictor,target,n,pearson_r,pearson_p,spearman_r,spearman_p,pearson_q_fdr,spearman_q_fdr
global,ALL,theta_power_drift,EER,250,0.3170322633649491,3.050631644789878e-07,0.26748734083873194,1.8149722878148588e-05,1.0677210756764574e-05,0.0006352403007352005
global,ALL,theta_power_drift,AUC,250,-0.21005443474569316,0.0008318591292288071,-0.18367909614298608,0.0035625427254982927,0.009705023174336082,0.0498755981569761
global,ALL,alpha_power_drift,EER,250,-0.1472683111651003,0.019829261658172632,-0.1380723547352278,0.02906238842311789,0.10677294739016033,0.18494247178347747
global,ALL,alpha_power_drift,AUC,250,0.10007523201535418,0.11448218837877094,0.09667523001796162,0.12738833680860864,0.2862054709469274,0.3566873430641042
global,ALL,beta_power_drift,EER,250,0.037896378177118745,0.5509041993146413,0.018298005395533137,0.7734301370786809,0.7819634668172213,1.0
global,ALL,beta_power_drift,AUC,250,-0.05121958320410878,0.4200563305956205,-0.027907915030214902,0.6605622525430843,0.6256158115253921,0.924787153560318
global,ALL,gamma_power_drift,EER,250,0.07699832280807672,0.22507212867207954,0.08622800611455059,0.17411982559745073,0.4146065528169886,0.40282476014244567
global,ALL,gamma_power_drift,AUC,250,-0.06939489068606891,0.27437229654580536,-0.07341479326830824,0.2474628890997532,0.4466525757722413,0.4808943694469395
global,ALL,total_psd_drift,EER,250,0.111722305057745,0.07787421287863756,0.035996831773076526,0.5710599440875206,0.2360184145170239,0.8327957517943009
global,ALL,total_psd_drift,AUC,250,-0.08718500315496042,0.16937166045592922,-0.0399299043014195,0.529719742390715,0.3705005072473452,0.8240084881633345
region,Frontal,theta_power_drift,EER,250,-0.052740264246528896,0.4063716065588444,-0.07142521165729099,0.2605425791217472,0.6256158115253921,0.4808943694469395
region,Frontal,theta_power_drift,AUC,250,0.012562206365688347,0.8433280669585681,0.0374179614952317,0.5559476713911101,1.0,0.8280071701569724
region,Frontal,alpha_power_drift,EER,250,-0.178315701354823,0.004684142939933463,-0.1527445588936948,0.01564038092985054,0.040986250724417805,0.12430366810120391
region,Frontal,alpha_power_drift,AUC,250,0.10726488179270063,0.09057102313513679,0.09521569138439684,0.13326235581256166,0.253598864778383,0.35878326564920443
region,Frontal,beta_power_drift,EER,250,0.0283272760872894,0.6557862289100136,-0.00606092622043478,0.924035027084474,0.8827891543019414,1.0
region,Frontal,beta_power_drift,AUC,250,-0.0076644697023153414,0.9040234344013949,0.013274119783157543,0.8345734328491036,1.0,1.0
region,Frontal,gamma_power_drift,EER,250,0.07779821576849677,0.22027702977274707,0.038785318741413444,0.5415928008820232,0.4146065528169886,0.8241629578639483
region,Frontal,gamma_power_drift,AUC,250,-0.01563759149527297,0.805660586642165,0.005446383637881191,0.9317176586190885,1.0,1.0
region,Frontal,total_psd_drift,EER,250,-0.11196567606846008,0.07722472618853406,-0.1260503654640232,0.046481843254003584,0.2360184145170239,0.23240921627001793
region,Frontal,total_psd_drift,AUC,250,0.07161058552062398,0.25930420614222205,0.09718990943085024,0.12536541021152575,0.43217367690370345,0.3566873430641042
region,Central/Motor,theta_power_drift,EER,250,0.24838202652243233,7.188041280840276e-05,0.17778716913275355,0.004810297378235081,0.0012579072241470483,0.05612013607940928
region,Central/Motor,theta_power_drift,AUC,250,-0.18244385250411133,0.003796817724771632,-0.11122452565991786,0.07921641081197633,0.037968177247716325,0.29337168576737965
region,Central/Motor,alpha_power_drift,EER,250,-0.07289155746747132,0.25085755270987115,-0.05923422317588414,0.35097443746097434,0.4282933826753898,0.5849573957682905
region,Central/Motor,alpha_power_drift,AUC,250,0.07417335654379852,0.24259844252027432,0.087242001375764,0.16909193828050206,0.42714070001322685,0.40282476014244567
region,Central/Motor,beta_power_drift,EER,250,0.13156653861463752,0.03762935356957509,0.10812108561802222,0.08801150573021391,0.16462842186689103,0.29337168576737965
region,Central/Motor,beta_power_drift,AUC,250,-0.12094182023848693,0.056173098057969315,-0.09672132071165314,0.12720615653332773,0.2084304855324517,0.3566873430641042
region,Central/Motor,gamma_power_drift,EER,250,0.16807820136898202,0.007740045525856779,0.12023525627660987,0.0576366093312558,0.05418031868099745,0.23732721489340622
region,Central/Motor,gamma_power_drift,AUC,250,-0.14392192252789854,0.02284221438280794,-0.10968048742125196,0.08349904182883823,0.1142110719140397,0.29337168576737965
region,Central/Motor,total_psd_drift,EER,250,0.11790501297036268,0.06268814619881485,0.12204047511286104,0.05395863274534928,0.21711093416285582,0.23732721489340622
region,Central/Motor,total_psd_drift,AUC,250,-0.08278481992766507,0.19202104997692931,-0.06403533710208408,0.31323904120584783,0.39176878080265404,0.5481683221102337
region,Temporal,theta_power_drift,EER,250,0.36574357656794154,2.495260014148049e-09,0.3075939261326356,7.053488986641455e-07,1.7466820099036344e-07,4.937442290649018e-05
region,Temporal,theta_power_drift,AUC,250,-0.24881032077137524,6.977751625257544e-05,-0.201039924100125,0.001395994182218044,0.0012579072241470483,0.02442989818881577
region,Temporal,alpha_power_drift,EER,250,-0.11060222475170503,0.08092059926297963,-0.10872026463601198,0.08625506123768643,0.2360184145170239,0.29337168576737965
region,Temporal,alpha_power_drift,AUC,250,0.09628773865311416,0.12892794141533595,0.09322610977337958,0.14160241215791677,0.31120537583012126,0.3639136499759531
region,Temporal,beta_power_drift,EER,250,0.10364138251125429,0.10206847785049998,0.07749381966000768,0.2220931280057033,0.2747997480590384,0.47110663516361306
region,Temporal,beta_power_drift,AUC,250,-0.09281320937254442,0.1433821393869001,-0.0713483938344718,0.2610569434140529,0.33455832523610024,0.4808943694469395
region,Temporal,gamma_power_drift,EER,250,0.0739411444295573,0.2440804000075582,0.06078594319683197,0.3384769489783472,0.42714070001322685,0.5778874738654708
region,Temporal,gamma_power_drift,AUC,250,-0.0635076039892967,0.317251940493783,-0.04916340660428719,0.43898155529667315,0.5047189962401094,0.7146211365294679
region,Temporal,total_psd_drift,EER,250,0.16229247881391873,0.010161882817519424,0.10023957699677243,0.11388527176982036,0.06466652702057817,0.3566873430641042
region,Temporal,total_psd_drift,AUC,250,-0.11683217507017361,0.06513328024885674,-0.07333797544548903,0.2479592577556544,0.21711093416285582,0.4808943694469395
region,Parietal,theta_power_drift,EER,250,0.1725445096034704,0.006237287262160996,0.1522529248276519,0.015981900184440505,0.048512234261252195,0.12430366810120391
region,Parietal,theta_power_drift,AUC,250,-0.12074677548131922,0.056573988930236886,-0.12035048301083869,0.05739581146370462,0.2084304855324517,0.23732721489340622
region,Parietal,alpha_power_drift,EER,250,-0.14850647080484344,0.01880531360311337,-0.1300218469037758,0.0399513749672613,0.10677294739016033,0.23240921627001793
region,Parietal,alpha_power_drift,AUC,250,0.09034748797646051,0.15436701946816062,0.0853830100635394,0.17839382234879736,0.348570689121653,0.40282476014244567
region,Parietal,beta_power_drift,EER,250,-0.08207291323924111,0.19588439040132702,-0.08207216190003194,0.19588849742268818,0.39176878080265404,0.4285060881121304
region,Parietal,beta_power_drift,AUC,250,0.03717237333649817,0.5585453334408724,0.04455433723513527,0.4831259162709172,0.7819634668172213,0.7686094122491866
region,Parietal,gamma_power_drift,EER,250,0.017218407838184697,0.7864659136355605,-0.007812372580712511,0.9021805177733504,1.0,1.0
region,Parietal,gamma_power_drift,AUC,250,-0.03753639993321831,0.554697009208337,-0.0256264256924847,0.686782726580391,0.7819634668172213,0.9287092037197376
region,Parietal,total_psd_drift,EER,250,0.009493113497977903,0.8812771162299788,-0.018006097668820185,0.7769487322744747,1.0,1.0
region,Parietal,total_psd_drift,AUC,250,-0.025679854502938127,0.6861642284753698,-0.01033199716918223,0.8708736580993495,0.9023906115553176,1.0
region,Occipital,theta_power_drift,EER,250,0.23755515955119183,0.00014963594546417585,0.22458458679420942,0.0003448772503315668,0.002094903236498462,0.008047135841069891
region,Occipital,theta_power_drift,AUC,250,-0.13401500908223468,0.03418294550950128,-0.15963511760057691,0.011483419532119293,0.15952041237767264,0.11483419532119292
region,Occipital,alpha_power_drift,EER,250,-0.08271860497102308,0.19237801548387495,-0.1276251308318168,0.043792741502879824,0.39176878080265404,0.23240921627001793
region,Occipital,alpha_power_drift,AUC,250,0.024821135836930772,0.6961299003426736,0.0253575633126175,0.6898982656203766,0.9023906115553176,0.9287092037197376
