enroll_session,test_session,enroll_emotion,test_emotion,transition,theta_power_drift,alpha_power_drift,beta_power_drift,gamma_power_drift,total_psd_drift
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Disgust,Disgust,Disgust->Disgust,0.0007772466389551043,0.0006630943528199123,0.0003207875340844376,0.00031761363567230067,0.0020787421615317547
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Disgust,Fear,Disgust->Fear,0.0006363930424586644,0.0007667895500725576,0.00040581960264327277,0.0003866588729405999,0.0021956610681150945
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Disgust,Happy,Disgust->Happy,0.001287334352465612,0.0010330857692419412,0.00045916520591293073,0.0001885156098675604,0.0029681009374880442
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Disgust,Neutral,Disgust->Neutral,0.0008778854373044199,0.0015397402906923423,0.0009992599282191979,0.0013530594648771166,0.004769945121093076
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Disgust,Sad,Disgust->Sad,0.000651521588276539,0.0017117019886860538,0.0004728797410193478,0.0010076908418947522,0.003843794159876693
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Fear,Disgust,Fear->Disgust,0.0011095031885252813,0.0017245367258077575,0.0004386303662267022,0.0004037061147668974,0.003676376395326639
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Fear,Fear,Fear->Fear,0.00066842411400839,0.0014306255050801804,0.00037130322820129994,0.00022608348316723636,0.002696436330457107
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Fear,Happy,Fear->Happy,0.0019851053521657974,0.0014261618112435652,0.00039932966977912195,0.0003835258136470136,0.004194122646835498
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Fear,Neutral,Fear->Neutral,0.001077644699918372,0.0009010488311538386,0.0006515843043979702,0.0010331506793764197,0.0036634285148466005
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Fear,Sad,Fear->Sad,0.0014691034187784512,0.0007138544211297164,0.0003204759874192643,0.0006877820563940555,0.0031912158837214878
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Happy,Disgust,Happy->Disgust,0.0007717071799561371,0.00021320249153567242,0.00036408770746285384,0.0006764506854649102,0.002025448064419574
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Happy,Fear,Happy->Fear,0.0013268675134029406,0.0006021082489973021,0.0003380071915065246,0.000574349651564955,0.0028413326054717225
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Happy,Happy,Happy->Happy,0.0006265237495037057,0.0003725370458726375,0.0003418910444625429,0.00044606500637850595,0.001787016846217392
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Happy,Neutral,Happy->Neutral,0.0010241177199142317,0.0010242872250576817,0.0010669527065363667,0.001605530063638331,0.00472088771514661
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Happy,Sad,Happy->Sad,0.0009096364634821101,0.0011962489230513931,0.0006392860981924015,0.0012601614406559662,0.00400533292538187
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Neutral,Disgust,Neutral->Disgust,0.000577377478059913,0.0007148519790332236,0.000984206388793176,0.0011553208841914534,0.003431756730077766
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Neutral,Fear,Neutral->Fear,0.0006660712849614874,0.0006807942542114431,0.0009168792507677738,0.0011227330273305552,0.003386477817271259
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Neutral,Happy,Neutral->Happy,0.001250749324182314,0.0007470233144149894,0.0009449056923455958,0.001233795901602467,0.004176474232545366
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Neutral,Neutral,Neutral->Neutral,0.0005556609614619189,0.00036873094781878434,0.00019984027298743882,0.0002177035518495055,0.0013419357341176476
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Neutral,Sad,Neutral->Sad,0.00043662187443780054,0.0005559253578429065,0.0004678535036787038,0.0003252960875951906,0.0017856968235546015
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Sad,Disgust,Sad->Disgust,0.0011278464713887798,0.001543288517166816,0.0006644604242562007,0.0010002698361252743,0.004335865248937071
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Sad,Fear,Sad->Fear,0.0010300987677293876,0.0014489895265017236,0.0005971332862307985,0.0009676819792643765,0.004043903559726286
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Sad,Happy,Sad->Happy,0.0015641582098656465,0.00151521858670527,0.0006251597278086205,0.001078744853536288,0.004783281377915826
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Sad,Neutral,Sad->Neutral,0.0011448505157161328,0.000750645826615038,0.0004257542463684717,0.000304699362494007,0.0026259499511936493
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Sad,Sad,Sad->Sad,0.0007524940639822963,0.0006708655678223634,0.00017382539559288745,0.00012288695399460952,0.0017200719813921564
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION3_16sub.npz,Disgust,Disgust,Disgust->Disgust,0.001578093280217478,0.0006527367480365295,0.0009044879705124049,0.0008690297480955322,0.004004347746861944
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION3_16sub.npz,Disgust,Fear,Disgust->Fear,0.0004255104610430341,0.0009928969821582237,0.0008336122169913281,0.0008077758392790287,0.003059795499471615
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION3_16sub.npz,Disgust,Happy,Disgust->Happy,0.0013262261015673474,0.0009003882418342288,0.00040143126139550333,0.00035391933169670484,0.002981964936493784
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION3_16sub.npz,Disgust,Neutral,Disgust->Neutral,0.0009489912639505091,0.0006123479394729997,0.0015413647190490297,0.0015515795448057662,0.004654283467278305
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION3_16sub.npz,Disgust,Sad,Disgust->Sad,0.002189010128911053,0.0006877133367760545,0.0015028777020883615,0.0016689462233833705,0.00604854739115884
