level,region,target,n,model,alpha,R2_in_sample,RMSE
global,ALL,EER,250,RidgeCV,46.41588833612773,0.144882580005101,0.007995465777653869
global,ALL,AUC,250,RidgeCV,46.41588833612773,0.06194022638106256,0.013940308283002238
region,Frontal,EER,250,RidgeCV,1000.0,0.013587789814365814,0.008587368735870932
region,Frontal,AUC,250,RidgeCV,4641.588833612773,0.001178637495904633,0.014384707419160729
region,Central/Motor,EER,250,RidgeCV,215.44346900318823,0.06389379327616418,0.008365529870372998
region,Central/Motor,AUC,250,RidgeCV,215.44346900318823,0.03994052550713467,0.014102827397011223
region,Temporal,EER,250,RidgeCV,21.54434690031882,0.20089894752771675,0.0077291501325762015
region,Temporal,AUC,250,RidgeCV,10.0,0.10007319840843187,0.013654025663433508
region,Parietal,EER,250,RidgeCV,215.44346900318823,0.04807614321543663,0.008435911159139173
region,Parietal,AUC,250,RidgeCV,215.44346900318823,0.02084483267609938,0.014242390259155933
region,Occipital,EER,250,RidgeCV,100.0,0.10692443901196114,0.008170995934274188
region,Occipital,AUC,250,RidgeCV,1000.0,0.00856330536541805,0.014331432948492236
