level,region,target,feature,standardized_beta
global,ALL,EER,theta_power_drift,0.002619799654959411
global,ALL,EER,alpha_power_drift,-0.0015126010703384236
global,ALL,EER,beta_power_drift,-0.0006662505074636072
global,ALL,EER,gamma_power_drift,0.000227056438155489
global,ALL,AUC,theta_power_drift,-0.0028148893592351474
global,ALL,AUC,alpha_power_drift,0.0016344603726528685
global,ALL,AUC,beta_power_drift,0.0003989749526054294
global,ALL,AUC,gamma_power_drift,-0.0002529740147229009
region,Frontal,EER,theta_power_drift,-7.682297506339936e-05
region,Frontal,EER,alpha_power_drift,-0.00029925665798577364
region,Frontal,EER,beta_power_drift,1.4253499829175103e-05
region,Frontal,EER,gamma_power_drift,0.00011687606080705649
region,Frontal,AUC,theta_power_drift,8.398150879295977e-06
region,Frontal,AUC,alpha_power_drift,7.864257323268071e-05
region,Frontal,AUC,beta_power_drift,-4.119895913792386e-06
region,Frontal,AUC,gamma_power_drift,-1.0372571826821733e-05
region,Central/Motor,EER,theta_power_drift,0.0010505765697401946
region,Central/Motor,EER,alpha_power_drift,-0.0003374103309088583
region,Central/Motor,EER,beta_power_drift,0.00017123838392832285
region,Central/Motor,EER,gamma_power_drift,0.0005410004832792932
region,Central/Motor,AUC,theta_power_drift,-0.001242692467318223
region,Central/Motor,AUC,alpha_power_drift,0.0005561457242117647
region,Central/Motor,AUC,beta_power_drift,-0.00036317621144839335
region,Central/Motor,AUC,gamma_power_drift,-0.0007605699185079462
region,Temporal,EER,theta_power_drift,0.004012521657213969
region,Temporal,EER,alpha_power_drift,-0.0011286033333067127
region,Temporal,EER,beta_power_drift,0.0008749374044850787
region,Temporal,EER,gamma_power_drift,-0.0026920445312070404
region,Temporal,AUC,theta_power_drift,-0.004919675971828202
region,Temporal,AUC,alpha_power_drift,0.0015954233781456384
region,Temporal,AUC,beta_power_drift,-0.00211366383968992
region,Temporal,AUC,gamma_power_drift,0.004263341208140023
region,Parietal,EER,theta_power_drift,0.0008292749974612942
region,Parietal,EER,alpha_power_drift,-0.0007008519576287357
region,Parietal,EER,beta_power_drift,-0.0003950677083722475
region,Parietal,EER,gamma_power_drift,0.00010828873030353794
region,Parietal,AUC,theta_power_drift,-0.0009506939440946175
region,Parietal,AUC,alpha_power_drift,0.0006980292358544864
region,Parietal,AUC,beta_power_drift,0.0003701614548901048
region,Parietal,AUC,gamma_power_drift,-0.00030358204767690045
region,Occipital,EER,theta_power_drift,0.0017359057767646483
region,Occipital,EER,alpha_power_drift,-0.0011565760605410863
region,Occipital,EER,beta_power_drift,-0.0011138283915462367
region,Occipital,EER,gamma_power_drift,0.0007112920160459772
region,Occipital,AUC,theta_power_drift,-0.000391961353563837
region,Occipital,AUC,alpha_power_drift,0.00010948200069191703
region,Occipital,AUC,beta_power_drift,0.0001591058529724778
region,Occipital,AUC,gamma_power_drift,-0.00011262017630938132
