session_file,session_index,emotion_id,emotion,PC1,PC2,explained_var_PC1,explained_var_PC2
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,9.937948,-5.8636827,0.3700612,0.23381607
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,1.7492197,10.649958,0.3700612,0.23381607
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,2,Sad,-4.148941,9.9986105,0.3700612,0.23381607
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,3,Neutral,-4.7540755,8.492183,0.3700612,0.23381607
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,4,Happy,12.640173,-2.030421,0.3700612,0.23381607
SEEDV_Q1_SAFE_SESSION2_16sub.npz,2,0,Disgust,11.210045,-3.353938,0.3700612,0.23381607
SEEDV_Q1_SAFE_SESSION2_16sub.npz,2,1,Fear,10.719496,-0.7640274,0.3700612,0.23381607
SEEDV_Q1_SAFE_SESSION2_16sub.npz,2,2,Sad,2.454127,7.4514627,0.3700612,0.23381607
SEEDV_Q1_SAFE_SESSION2_16sub.npz,2,3,Neutral,-4.8857956,11.467336,0.3700612,0.23381607
SEEDV_Q1_SAFE_SESSION2_16sub.npz,2,4,Happy,12.709909,-0.09042346,0.3700612,0.23381607
SEEDV_Q1_SAFE_SESSION3_16sub.npz,3,0,Disgust,-6.742267,-11.57662,0.3700612,0.23381607
SEEDV_Q1_SAFE_SESSION3_16sub.npz,3,1,Fear,-4.8931017,-11.544591,0.3700612,0.23381607
SEEDV_Q1_SAFE_SESSION3_16sub.npz,3,2,Sad,-16.098207,-3.694473,0.3700612,0.23381607
SEEDV_Q1_SAFE_SESSION3_16sub.npz,3,3,Neutral,-17.58731,-1.09311,0.3700612,0.23381607
SEEDV_Q1_SAFE_SESSION3_16sub.npz,3,4,Happy,-2.3112216,-8.0482645,0.3700612,0.23381607
