probe_session,adaptation_fraction,EER,AUC,threshold,adaptive_balanced_error,n_scores
2,0.0,0.18182175925925925,0.8980308564814814,0.276326447725296,0.023472222222222224,230400
2,0.05,0.16441033138401556,0.9108725530220125,0.30097413063049316,0.021849872076023392,218880
2,0.1,0.16335133744855967,0.9130076541304679,0.30131155252456665,0.02166039737654321,207360
2,0.2,0.16102430555555558,0.9151154815297069,0.3025752604007721,0.021489800347222223,184320
2,0.3,0.1639484126984127,0.9121884044705845,0.3011476695537567,0.021664186507936507,161280
3,0.0,0.25075462962962963,0.8192634526105966,0.20774319767951965,0.025970052083333334,230400
3,0.05,0.2034381091617934,0.872383244880191,0.25927844643592834,0.02441748903508772,218880
3,0.1,0.19675154320987656,0.879118863875235,0.26328814029693604,0.024370659722222222,207360
3,0.2,0.20047164351851848,0.8748651439525463,0.2599625885486603,0.024335394965277778,184320
3,0.3,0.20030423280423276,0.8747385190959099,0.2607044577598572,0.024426463293650794,161280
