subject,identity_drift,probe_session,comparison
1,0.16391515731811523,2,S1_to_S2
2,0.20003926753997803,2,S1_to_S2
3,0.05792170763015747,2,S1_to_S2
4,0.1788252592086792,2,S1_to_S2
5,0.11919695138931274,2,S1_to_S2
6,0.3811531662940979,2,S1_to_S2
7,0.06645017862319946,2,S1_to_S2
8,0.09526926279067993,2,S1_to_S2
9,0.0808495283126831,2,S1_to_S2
10,0.2013964056968689,2,S1_to_S2
11,0.11344343423843384,2,S1_to_S2
12,0.05060309171676636,2,S1_to_S2
13,0.09030646085739136,2,S1_to_S2
14,0.16695326566696167,2,S1_to_S2
15,0.18587517738342285,2,S1_to_S2
16,0.3263421058654785,2,S1_to_S2
1,0.3280898332595825,3,S1_to_S3
2,0.5601488351821899,3,S1_to_S3
3,0.17655295133590698,3,S1_to_S3
4,0.20273464918136597,3,S1_to_S3
5,0.1883673071861267,3,S1_to_S3
6,0.8407431840896606,3,S1_to_S3
7,1.1785753220319748,3,S1_to_S3
8,0.1087026596069336,3,S1_to_S3
9,0.033258914947509766,3,S1_to_S3
10,0.4351499080657959,3,S1_to_S3
11,0.1761201024055481,3,S1_to_S3
12,0.07490438222885132,3,S1_to_S3
13,0.12131685018539429,3,S1_to_S3
14,0.16480761766433716,3,S1_to_S3
15,0.11791777610778809,3,S1_to_S3
16,0.17155694961547852,3,S1_to_S3
