metric,value,p_value,detail
R2_standardized,0.15198717614915425,,n=250
beta[theta_power_drift],0.37654897053483993,6.4127714249906376e-09,
beta[alpha_power_drift],-0.2251400587001521,0.0003482194723647414,
beta[beta_power_drift],-0.15571987740033272,0.1716648891637842,
beta[gamma_power_drift],0.06953692886760396,0.5444086386188038,
pearson[theta_power_drift],0.317032263364952,3.0506316447890824e-07,FDR-q=1.22e-06
pearson[alpha_power_drift],-0.1472683111651,0.01982926165817282,FDR-q=0.0397
pearson[beta_power_drift],0.03789637817713397,0.5509041993144802,FDR-q=0.551
pearson[gamma_power_drift],0.07699832280806107,0.22507212867217477,FDR-q=0.3
region[Temporal],0.16229247881391792,0.010161882817519736,"FDR-q=0.0508, n=250"
region[Central/Motor],0.11790501297036347,0.06268814619881335,"FDR-q=0.129, n=250"
region[Frontal],-0.11196567606845534,0.07722472618854645,"FDR-q=0.129, n=250"
region[Occipital],0.10021818481643728,0.11396283202510904,"FDR-q=0.142, n=250"
region[Parietal],0.009493113497977494,0.8812771162299843,"FDR-q=0.881, n=250"
