enrol_emotion,test_session,test_emotion,session_changed,emotion_changed,EER,AUC,n_probe
Disgust,1,Disgust,0,0,0.17720045428733677,0.9037667104895295,1174
Disgust,1,Fear,0,1,0.2178352620830497,0.8635748437220754,1469
Disgust,1,Sad,0,1,0.2077549509531742,0.8752061880196321,1801
Disgust,1,Neutral,0,1,0.23947730398899586,0.8329961396000345,1454
Disgust,1,Happy,0,1,0.19926767676767676,0.8896757728803183,1320
Disgust,2,Disgust,1,0,0.24991334488734837,0.8272602186452165,2885
Disgust,2,Fear,1,1,0.24627831715210358,0.8221872900367612,2575
Disgust,2,Sad,1,1,0.24495148177288228,0.8177325205567648,3813
Disgust,2,Neutral,1,1,0.27403385499840305,0.792390083837924,3131
Disgust,2,Happy,1,1,0.2574649298597194,0.8127639547632338,1996
Disgust,3,Disgust,1,0,0.2665393186883158,0.8063611273032789,2094
Disgust,3,Fear,1,1,0.2778251599147122,0.7878226619456071,3283
Disgust,3,Sad,1,1,0.2756177508825013,0.7864767548027793,3966
Disgust,3,Neutral,1,1,0.2870524457892083,0.7805977939947955,2644
Disgust,3,Happy,1,1,0.2875120873048763,0.7928954269727561,2413
Fear,1,Disgust,0,1,0.19508801817149346,0.8791216466561609,1174
Fear,1,Fear,0,0,0.15806671204901296,0.91913845214688,1469
Fear,1,Sad,0,1,0.20109198593374053,0.8809702241428584,1801
Fear,1,Neutral,0,1,0.22083906464924347,0.8572537489270535,1454
Fear,1,Happy,0,1,0.16368686868686871,0.9182454277624732,1320
Fear,2,Disgust,1,1,0.24263431542461003,0.8320604453201734,2885
Fear,2,Fear,1,0,0.21315210355987055,0.8547088497187924,2575
Fear,2,Sad,1,1,0.22501966955153418,0.8405751604532619,3813
Fear,2,Neutral,1,1,0.27086127967635476,0.8001898537284726,3131
Fear,2,Happy,1,1,0.23294923179692723,0.8336285379710656,1996
Fear,3,Disgust,1,1,0.24412607449856735,0.8242632183582996,2094
Fear,3,Fear,1,0,0.2391207229160321,0.8272549181337557,3283
Fear,3,Sad,1,1,0.25742982013783827,0.8057862121358155,3966
Fear,3,Neutral,1,1,0.2958018154311649,0.7797184540607265,2644
Fear,3,Happy,1,1,0.23829258184832158,0.8310829177521697,2413
Sad,1,Disgust,0,1,0.2125780806360023,0.8709697960834162,1174
Sad,1,Fear,0,1,0.22523258452461994,0.8515734065629544,1469
Sad,1,Sad,0,0,0.17990005552470847,0.9006752166290901,1801
Sad,1,Neutral,0,1,0.22572214580467678,0.846705100382382,1454
Sad,1,Happy,0,1,0.22042929292929292,0.8697018097643097,1320
Sad,2,Disgust,1,1,0.2940150202195263,0.7827946138666202,2885
Sad,2,Fear,1,1,0.2820453074433657,0.7877743802431897,2575
Sad,2,Sad,1,0,0.25282804440947637,0.8157652788172256,3813
Sad,2,Neutral,1,1,0.27756840200149047,0.7912390129401459,3131
Sad,2,Happy,1,1,0.2920841683366734,0.7777961484090425,1996
Sad,3,Disgust,1,1,0.2927093282394142,0.7728463580697964,2094
Sad,3,Fear,1,1,0.29212102751548386,0.7773383420134437,3283
Sad,3,Sad,1,0,0.267986216170785,0.7915531513578986,3966
Sad,3,Neutral,1,1,0.29272566817952594,0.7772821536006127,2644
Sad,3,Happy,1,1,0.30924160795690014,0.7590651308726439,2413
Neutral,1,Disgust,0,1,0.21893810335036912,0.864154349346575,1174
Neutral,1,Fear,0,1,0.20555933741774451,0.8746569099256196,1469
Neutral,1,Sad,0,1,0.19572459744586343,0.8857829102079242,1801
Neutral,1,Neutral,0,0,0.17464465841357174,0.8976836181174542,1454
Neutral,1,Happy,0,1,0.2045707070707071,0.8890889194980103,1320
Neutral,2,Disgust,1,1,0.2838590410167533,0.7958651564347553,2885
Neutral,2,Fear,1,1,0.2667831715210356,0.8127803738963773,2575
Neutral,2,Sad,1,1,0.23419879360083926,0.8333316138166331,3813
Neutral,2,Neutral,1,0,0.23286489939316513,0.8350512962094574,3131
Neutral,2,Happy,1,1,0.26601536406145626,0.8132009007995952,1996
Neutral,3,Disgust,1,1,0.28524355300859594,0.7806038203785349,2094
Neutral,3,Fear,1,1,0.2689410092395167,0.7949773470974307,3283
Neutral,3,Sad,1,1,0.24727685325264748,0.8121998620481183,3966
Neutral,3,Neutral,1,0,0.2567574382249117,0.8142050851298059,2644
Neutral,3,Happy,1,1,0.3016991297140489,0.7802701350555056,2413
Happy,1,Disgust,0,1,0.21294718909710394,0.868582973705315,1174
Happy,1,Fear,0,1,0.1953710006807352,0.882243732239214,1469
Happy,1,Sad,0,1,0.21656487136775865,0.866256803266904,1801
Happy,1,Neutral,0,1,0.23594681338835394,0.8392919310009479,1454
Happy,1,Happy,0,0,0.14565656565656568,0.9327357093663912,1320
Happy,2,Disgust,1,1,0.2491276718659734,0.8244920848989824,2885
Happy,2,Fear,1,1,0.23610355987055018,0.8351025230150501,2575
Happy,2,Sad,1,1,0.2337092403182096,0.8307100134358449,3813
Happy,2,Neutral,1,1,0.2759501756627276,0.7936136483596123,3131
Happy,2,Happy,1,0,0.2169672678690715,0.8496802472680833,1996
Happy,3,Disgust,1,1,0.24638650111429478,0.821163855006968,2094
Happy,3,Fear,1,1,0.26258503401360545,0.807164436416635,3283
Happy,3,Sad,1,1,0.26576735585812744,0.8015168370551267,3966
Happy,3,Neutral,1,1,0.28674987392839135,0.7832407012175351,2644
Happy,3,Happy,1,0,0.216369664318276,0.8468583197554207,2413
