subject,session_changed,emotion_changed,EER
1,0,0,0.19398148148148148
2,0,0,0.19999999999999998
3,0,0,0.14647887323943665
4,0,0,0.07370892018779343
5,0,0,0.14385964912280702
6,0,0,0.11857142857142856
7,0,0,0.2564444444444444
8,0,0,0.09374999999999999
9,0,0,0.03377192982456141
10,0,0,0.24000000000000002
11,0,0,0.1263157894736842
12,0,0,0.08185654008438817
13,0,0,0.3178743961352657
14,0,0,0.04892473118279568
15,0,0,0.1454954954954955
16,0,0,0.12054794520547948
1,0,1,0.2212121212121212
2,0,1,0.2684587813620072
3,0,1,0.1730769230769231
4,0,1,0.16309523809523807
5,0,1,0.2628787878787879
6,0,1,0.3101123595505618
7,0,1,0.1358695652173913
8,0,1,0.14559386973180077
9,0,1,0.012820512820512801
10,0,1,0.25543071161048686
11,0,1,0.18784313725490195
12,0,1,0.0
13,0,1,0.3644688644688645
14,0,1,0.07925925925925922
15,0,1,0.35189003436426114
16,0,1,0.23876811594202896
1,0,1,0.24649122807017543
2,0,1,0.26824146981627295
3,0,1,0.23124999999999998
4,0,1,0.1157181571815718
5,0,1,0.22748538011695907
6,0,1,0.2887878787878788
7,0,1,0.19166666666666665
8,0,1,0.11993769470404986
9,0,1,0.06902654867256637
10,0,1,0.23058103975535166
11,0,1,0.12309941520467839
12,0,1,0.17798742138364776
13,0,1,0.3219298245614035
14,0,1,0.06862745098039215
15,0,1,0.21768115942028984
16,0,1,0.11091954022988504
1,0,1,0.18442028985507247
2,0,1,0.29616858237547894
3,0,1,0.3314393939393939
4,0,1,0.12575757575757576
5,0,1,0.19925925925925925
6,0,1,0.36666666666666664
7,0,1,0.13894736842105262
8,0,1,0.1776595744680851
9,0,1,0.08352490421455938
10,0,1,0.2633699633699633
11,0,1,0.17362637362637365
12,0,1,0.011494252873563211
13,0,1,0.37244897959183676
14,0,1,0.10823529411764704
15,0,1,0.3684027777777778
16,0,1,0.12490842490842492
1,0,1,0.2
2,0,1,0.28378378378378377
3,0,1,0.18172043010752686
4,0,1,0.15137254901960784
5,0,1,0.21566265060240966
6,0,1,0.2272727272727273
7,0,1,0.12784313725490196
8,0,1,0.25502008032128515
9,0,1,0.1761904761904762
10,0,1,0.17113821138211383
11,0,1,0.17490196078431375
12,0,1,0.010288065843621427
13,0,1,0.30506329113924047
