transition,emotion_pair,delta_drift,theta_drift,alpha_drift,beta_drift,gamma_drift,preproc
1->2,Disgust->Disgust,0.01205826395957293,0.011552528018238242,0.0028973249453918114,0.017803819386462135,0.013014378584574472,zscored
1->2,Disgust->Fear,0.01553938285706065,0.013362539076862308,0.0035539568950737612,0.015150238338826616,0.011151346667898061,zscored
1->2,Disgust->Sad,0.009436984341328569,0.0132035756440628,0.008147382141469092,0.011670379222309403,0.006320669256481499,zscored
1->2,Disgust->Neutral,0.013637103023340686,0.014730278056559378,0.007817601145269241,0.008933649566672698,0.009251053058325846,zscored
1->2,Disgust->Happy,0.02071718037111212,0.011067471233378257,0.0043514890875142875,0.01554034566541351,0.012372023707494203,zscored
1->2,Fear->Disgust,0.011589808276529716,0.005360948750202787,0.007960529514066322,0.0231718133077075,0.014396776270276045,zscored
1->2,Fear->Fear,0.012286954110608718,0.004460571905887314,0.008811879980935761,0.020596317306224056,0.011165838873982403,zscored
1->2,Fear->Sad,0.009744290615615301,0.004421182049934883,0.014920407681389738,0.018131913353992765,0.006156209470119383,zscored
1->2,Fear->Neutral,0.015305635026074892,0.006149059068876781,0.014320790983669117,0.013558973776826948,0.009590126323951065,zscored
1->2,Fear->Happy,0.02147408426612384,0.00922313276692322,0.009481137175824985,0.02126271745798993,0.011263651135845317,zscored
1->2,Sad->Disgust,0.02631068019198605,0.012590985332624009,0.004171596021642243,0.027170112367290156,0.02460701910158213,zscored
1->2,Sad->Fear,0.029212983441694648,0.01435522471488653,0.004971150959314569,0.02451653131965464,0.021335475985372457,zscored
1->2,Sad->Sad,0.020871103599613954,0.014191483863017601,0.0044094724306492725,0.020713996911254223,0.00992699712747091,zscored
1->2,Sad->Neutral,0.009218264568436692,0.01565110806223172,0.004247591773110378,0.009354931287014848,0.005978812344732745,zscored
1->2,Sad->Happy,0.033395611679737154,0.013845241065946836,0.004840855999201066,0.023753964771584174,0.021528680585411686,zscored
1->2,Neutral->Disgust,0.027315277355728584,0.006104479275362699,0.003528110282731682,0.03485185627516821,0.02640490670158559,zscored
1->2,Neutral->Fear,0.030035213142886392,0.0048752220337541455,0.00463710162299271,0.03219827522753268,0.02313336358537592,zscored
1->2,Neutral->Sad,0.02197234972988006,0.004039194373255315,0.007416922633516871,0.02839574081913226,0.011581276140792192,zscored
1->2,Neutral->Neutral,0.00916022235131961,0.005603526020633292,0.006789136058658,0.01553888595226648,0.00586173696663947,zscored
1->2,Neutral->Happy,0.03471013775422392,0.010784094976516766,0.005061890203759783,0.03143570867946222,0.023111101488343822,zscored
1->2,Happy->Disgust,0.011078206342452875,0.007082319219848165,0.004572778872505269,0.015221039107201639,0.009187996417311437,zscored
1->2,Happy->Fear,0.01232341838208569,0.009536233147067138,0.005865202701514548,0.012409230367413718,0.008159579943456008,zscored
1->2,Happy->Sad,0.009408015549849555,0.009470392206325872,0.00843577402873061,0.010489827580975388,0.008580030897926543,zscored
1->2,Happy->Neutral,0.019976066865889784,0.010228166856046387,0.007736249981782229,0.009831959495672764,0.013389221911430332,zscored
1->2,Happy->Happy,0.013118816192825568,0.0056880918404872095,0.002934514036182011,0.012942498190466048,0.0069934796164543515,zscored
1->3,Disgust->Disgust,0.01689268161486871,0.012025923453426405,0.005722598557389581,0.015518936715503927,0.012612544626699203,zscored
1->3,Disgust->Fear,0.015990555035550094,0.019342349048084597,0.006701711225234065,0.009222310998207129,0.009271993346543673,zscored
1->3,Disgust->Sad,0.011859211801886631,0.011390635836943013,0.010015807963073166,0.009511124841655224,0.008708555105708317,zscored
1->3,Disgust->Neutral,0.013633020564180493,0.012499001082034318,0.0068159862123857865,0.010247764239959222,0.010313080577158963,zscored
1->3,Disgust->Happy,0.022364229112829665,0.011958174932720347,0.0038717096309567865,0.017001361627197405,0.017905915665175666,zscored
1->3,Fear->Disgust,0.009869124399648628,0.00502657209235297,0.005656382702711406,0.019558422705643626,0.01316925602573331,zscored
1->3,Fear->Fear,0.009538724290170256,0.008782757232907716,0.01276554884202475,0.009931857976298475,0.007397345938761935,zscored
1->3,Fear->Sad,0.011941222133977393,0.00474417015743355,0.01621405614639706,0.012916347668668355,0.006635019928553914,zscored
1->3,Fear->Neutral,0.014890773568774848,0.0044769949152454105,0.012997667799859822,0.015070601370261961,0.00942637687072228,zscored
1->3,Fear->Happy,0.01680690581680412,0.007685807613792522,0.006871222033320922,0.01916347416369577,0.016214216085248635,zscored
1->3,Sad->Disgust,0.023792719640733342,0.012826541643273182,0.007673825794978006,0.02355672176522629,0.023099893824801078,zscored
1->3,Sad->Fear,0.02374610231320219,0.020202985648805113,0.005667772972876949,0.013785799782615075,0.016022262297860346,zscored
1->3,Sad->Sad,0.014397679582584609,0.01196080163825738,0.005788349117653082,0.014672841760511311,0.00783691870264362,zscored
1->3,Sad->Neutral,0.01163779218301319,0.01348993855645198,0.004383384821092928,0.012232631265203886,0.0075461689729734,zscored
1->3,Sad->Happy,0.02908525930624863,0.013776460908659364,0.005379330950779899,0.022732489958036294,0.026482189250301075,zscored
1->3,Neutral->Disgust,0.024525819086426263,0.006777655750560559,0.005924619049862608,0.031238465673104347,0.024897781424804546,zscored
1->3,Neutral->Fear,0.024060313856132796,0.008047899260704766,0.007553964242008875,0.019286223662222164,0.017510035022346257,zscored
1->3,Neutral->Sad,0.014994519059590995,0.005897671424118853,0.00871442046330475,0.022010716037923005,0.008831061397152779,zscored
1->3,Neutral->Neutral,0.011151480918184745,0.005061317222647638,0.0057073840035284495,0.017316597381053293,0.007321172806217488,zscored
1->3,Neutral->Happy,0.030484592375682712,0.010027022388290806,0.004446983318064082,0.030290978905773806,0.02785213191063646,zscored
1->3,Happy->Disgust,0.01351103032039983,0.009853423624736176,0.008181501124143434,0.0125714881877098,0.008649370613893188,zscored
1->3,Happy->Fear,0.011190580549968777,0.014797904120053216,0.007987912146686706,0.00628698059542252,0.006586337562845987,zscored
1->3,Happy->Sad,0.014785340133153933,0.011344836238325004,0.010256189167662464,0.007015403370308057,0.011182490230142046,zscored
1->3,Happy->Neutral,0.019886434609698602,0.008779934965968069,0.006926427042785184,0.010473621644491898,0.013720019364360448,zscored
1->3,Happy->Happy,0.012164595228325824,0.006872493255786985,0.0037640196401902168,0.011383873695683907,0.011723793925303544,zscored
1->2,Disgust->Disgust,0.008447949454467847,0.007138801309525976,0.0021856511947648148,0.01523637723930529,0.011136082519316295,amplitude
