transition,emotion_pair,theta_drift,EER_PSD,EER_Lightweight,EER_ArcFace
1->2,Disgust->Disgust,0.007138801309525976,0.2674114096573209,0.25511584890965733,0.08220989096573202
1->2,Disgust->Fear,0.008465198799389128,0.2632189764492754,0.24968297101449277,0.06708030303030298
1->2,Disgust->Sad,0.008092083383344315,0.25346108140225787,0.24908273915626858,0.0849445266272189
1->2,Disgust->Neutral,0.00858001938318313,0.2562900641025641,0.2791266025641026,0.06789999999999996
1->2,Disgust->Happy,0.006220704774744741,0.2804982817869416,0.2653207331042382,0.0698841172460804
1->2,Fear->Disgust,0.003505596158602192,0.2648072429906542,0.2459355529595016,0.08217484423676008
1->2,Fear->Fear,0.0028423434810748234,0.23823029891304348,0.2179177989130435,0.06632121212121209
1->2,Fear->Sad,0.0027614413995653646,0.24586675579322637,0.22517825311942957,0.08500862919132146
1->2,Fear->Neutral,0.003897673714018335,0.27548076923076925,0.272173254985755,0.0678619047619047
1->2,Fear->Happy,0.006253338576677109,0.26617983963344793,0.2403350515463918,0.07092706203135649
1->2,Sad->Disgust,0.008118784011933323,0.2993282710280374,0.28489583333333335,0.08213785046728968
1->2,Sad->Fear,0.009429370858754645,0.2836277173913043,0.26735733695652175,0.06601969696969692
1->2,Sad->Sad,0.009020684549933895,0.2631610219845514,0.24062685680332738,0.08454265285996052
1->2,Sad->Neutral,0.009501165976206332,0.26700053418803416,0.2630920584045584,0.06775873015873012
1->2,Sad->Happy,0.008449577224643604,0.2951030927835051,0.28092067583046965,0.07106680299931831
1->2,Neutral->Disgust,0.00453368936248206,0.30840634735202493,0.2808313862928349,0.08279984423676008
1->2,Neutral->Fear,0.0035471031388671394,0.2915930706521739,0.25797667572463767,0.06704848484848483
1->2,Neutral->Sad,0.0028422032872157314,0.27518196672608436,0.228613339275104,0.08502588757396445
1->2,Neutral->Neutral,0.0036663951779355064,0.24869123931623932,0.22747507122507124,0.06856825396825392
1->2,Neutral->Happy,0.007826667251606235,0.2975157502863689,0.2598654066437571,0.07152692569870481
1->2,Happy->Disgust,0.004895015068047942,0.254502531152648,0.24766841900311526,0.08216316199376944
1->2,Happy->Fear,0.006627762039975855,0.24236865942028984,0.23185575181159424,0.06720909090909086
1->2,Happy->Sad,0.006334296948616401,0.23996954842543078,0.23340017825311943,0.08534640039447727
1->2,Happy->Neutral,0.0064250072295776815,0.26895922364672364,0.2801771723646724,0.068131746031746
1->2,Happy->Happy,0.0030647851944480267,0.23605383734249716,0.21258591065292098,0.071042944785276
1->3,Disgust->Disgust,0.007425592305433803,0.2740974282888229,0.26757542037586546,0.08220989096573202
1->3,Disgust->Fear,0.012283213334187065,0.2815229089790898,0.2820379766297663,0.06708030303030298
1->3,Disgust->Sad,0.006780739156155276,0.26388451443569555,0.27176509186351705,0.0849445266272189
1->3,Disgust->Neutral,0.006863269183169905,0.27223322021116136,0.283512443438914,0.06789999999999996
1->3,Disgust->Happy,0.006801751882183016,0.2947387901861252,0.2849354906937394,0.0698841172460804
1->3,Fear->Disgust,0.0033783866442065476,0.2602435707220574,0.24833086053412465,0.08217484423676008
1->3,Fear->Fear,0.005418464445142284,0.24954258917589178,0.2423892988929889,0.06632121212121209
1->3,Fear->Sad,0.0036389955447818354,0.2659022309711286,0.25383202099737534,0.08500862919132146
1->3,Fear->Neutral,0.0029815756662926085,0.2976244343891403,0.294678544494721,0.0678619047619047
1->3,Fear->Happy,0.005657316307569803,0.2627590947546531,0.23984771573604058,0.07092706203135649
1->3,Sad->Disgust,0.008064572391693179,0.30879080118694363,0.2893236894164194,0.08213785046728968
1->3,Sad->Fear,0.013171097918753262,0.2965636531365314,0.2897524600246002,0.06601969696969692
1->3,Sad->Sad,0.007180461311194013,0.270492125984252,0.25797900262467194,0.08454265285996052
1->3,Sad->Neutral,0.0077927499133165655,0.28224453242835595,0.27799302413273,0.06775873015873012
1->3,Sad->Happy,0.00827786756422426,0.3106175972927242,0.30295579526226735,0.07106680299931831
1->3,Neutral->Disgust,0.005101988684951769,0.31728486646884274,0.2871167161226509,0.08279984423676008
1->3,Neutral->Fear,0.00523310260740965,0.2955373616236162,0.26902290897908976,0.06704848484848483
1->3,Neutral->Sad,0.004839599476531505,0.2733103674540682,0.2433038057742782,0.08502588757396445
1->3,Neutral->Neutral,0.003652826603352096,0.268080693815988,0.2509568250377074,0.06856825396825392
1->3,Neutral->Happy,0.007624153104369727,0.31046425549915396,0.2955478003384095,0.07152692569870481
1->3,Happy->Disgust,0.0065177412097741525,0.2518916913946588,0.25467359050445104,0.08216316199376944
1->3,Happy->Fear,0.009822302225516936,0.26027829028290284,0.26626306888068885,0.06720909090909086
1->3,Happy->Sad,0.007589318204432925,0.2619258530183727,0.2644685039370078,0.08534640039447727
1->3,Happy->Neutral,0.005177202395701773,0.28650075414781295,0.28434671945701356,0.068131746031746
1->3,Happy->Happy,0.004106402273149826,0.24140757191201354,0.22303299492385786,0.071042944785276
