subject,theta_drift,cross_EER
1,0.0013187645387048165,0.19687037037037036
2,0.0018612232370058986,0.2537037037037037
3,0.0006267226258823919,0.26511111111111113
4,0.0009214229681714486,0.11325925925925925
5,0.0016662459621536758,0.17931481481481482
6,0.008292906070745296,0.18122222222222223
7,0.024135508803231873,0.6439444444444444
8,0.00433814424323112,0.15107407407407406
9,0.0022288797640919395,0.1132962962962963
10,0.0009403845812142144,0.3682037037037037
11,0.0011981411541889917,0.2495740740740741
12,0.003264964896468826,0.03231481481481481
13,0.0008254841391400805,0.34411111111111115
14,0.001951208462976866,0.12659259259259262
15,0.0013898147749407067,0.2697962962962963
16,0.0013206117767494121,0.13720370370370372
