transition,emotion_pair,theta_drift,alpha_drift,beta_drift,gamma_drift,thetaZ_drift
1->2,Disgust->Disgust,0.0018347896251849683,0.0006295152572464727,0.0009592136346342694,0.0008425640724947144,0.00295371969747697
1->2,Disgust->Fear,0.0020153888198737816,0.0009998812217284496,0.000850137599103992,0.0006612542889091277,0.003223817768040058
1->2,Disgust->Sad,0.0014711879171488743,0.0019315535256350315,0.0005436602262967212,0.00029552385572711136,0.0026007578692380817
1->2,Disgust->Neutral,0.001796844890254451,0.0019430081450932876,0.0002892591343373916,0.0004231307242495628,0.0032062136162287177
1->2,Disgust->Happy,0.0010432451397733283,0.0008291536006657322,0.0008831069524576442,0.0008071587523503134,0.00227531308374065
1->2,Fear->Disgust,0.0005118982364645204,0.001357760218264679,0.0008490864107364363,0.0007116442101075347,0.0007934677966885191
1->2,Fear->Fear,0.0004088208027698905,0.0017281261827466559,0.000740010375206159,0.000530334426521948,0.0006873716825718773
1->2,Fear->Sad,0.0004028514366205091,0.002659798486653238,0.0005640320509465304,0.00024512214088612055,0.000561701553244566
1->2,Fear->Neutral,0.000475269223874953,0.002671253106111494,0.0004742638809130693,0.0005540505866367425,0.0009740910341092292
1->2,Fear->Happy,0.001322510589092946,0.0015573985616839387,0.0007729797285598111,0.0006762388899631337,0.0018103774141372143
1->2,Sad->Disgust,0.002260094194017961,0.00023147978637354585,0.001454734067117863,0.0015336398495086208,0.0034700249261025258
1->2,Sad->Fear,0.002440693388706774,0.0005000505075764567,0.0013456580315875856,0.0013523300659230343,0.0037401229966656144
1->2,Sad->Sad,0.0018964924859818668,0.001190042887383157,0.0010391806587803148,0.0006439971753318793,0.003117063097863638
1->2,Sad->Neutral,0.0022221494590874435,0.0012014975068414132,0.000455854844188794,0.00026794505276434374,0.0037225188448542735
1->2,Sad->Happy,0.001569635538350134,0.00032165192871231945,0.0013786273849412376,0.00149823452936422,0.002791618312366206
1->2,Neutral->Disgust,0.00048743871679890645,0.0002959358967548335,0.0016269660325636212,0.0015291649715720836,0.0007275005732689674
1->2,Neutral->Fear,0.000689143668313457,0.0006404081342560226,0.0015178899970333438,0.0013478551879864968,0.0009851562601612372
1->2,Neutral->Sad,0.0005250241307929515,0.0015412023233810207,0.001211412624226073,0.000639522297395342,0.0006695882395177745
1->2,Neutral->Neutral,0.00038316454242778055,0.001552656942839277,0.0006280868096345522,0.00026347017482780634,0.0006180392238975749
1->2,Neutral->Happy,0.0013969933579003238,0.0004936069396521498,0.0015508593503869958,0.0014937596514276825,0.0018318174405302725
1->2,Happy->Disgust,0.0011509060851897061,0.000594765915205279,0.0005227110664542406,0.00032502808619276944,0.001772847821684434
1->2,Happy->Fear,0.001511904356747282,0.0008459080052630038,0.00041363503092396324,0.0003710547357469626,0.0021203616887751514
1->2,Happy->Sad,0.0011137286533279846,0.001777580309169586,0.00034023089000715864,0.0005646145879839721,0.0016840713951928466
1->2,Happy->Neutral,0.0013969212842451998,0.0017890349286278418,0.0005252783296616194,0.0009406667105515077,0.0022055726453771435
1->2,Happy->Happy,0.0004924589153472592,0.0006751803842002865,0.00048735595833888196,0.00028962276604836847,0.001094441207948114
1->3,Disgust->Disgust,0.0017139425064028537,0.0007066178549383721,0.0009801783740401625,0.0009418289586820092,0.002843408010075482
1->3,Disgust->Fear,0.0028375640364826063,0.001979916506078249,0.0005315905077521281,0.000583230561521133,0.004479810292309769
1->3,Disgust->Sad,0.0011665914244027517,0.0022462811326084816,0.0004317519585101022,0.0002773035440418472,0.0021162604015295483
1->3,Disgust->Neutral,0.0015326092960821019,0.0017413284322835298,0.00037629831097879746,0.00035584009284354514,0.0028516774139170343
1->3,Disgust->Happy,0.0015886716810700227,0.0006524531542766654,0.0010592135773876442,0.001341688174536403,0.002977606843519395
1->3,Fear->Disgust,0.000440671932846488,0.0011584250753836358,0.0008700511501423295,0.0008109090962948297,0.0006889057517124826
