transition,emotion_pair,theta_stored,EER,theta_filter,theta_ica,theta_ica_asr
1->2,Disgust->Disgust,0.0020114705805641866,0.08220989096573202,0.002011582882144609,0.001726308348698441,0.001726308348698441
1->2,Disgust->Fear,0.0022718287412300158,0.06708030303030298,0.002271695011295912,0.0020016217598559103,0.0020016217598559103
1->2,Disgust->Happy,0.0012422130223529268,0.0698841172460804,0.0012427391464512605,0.0010720421223455478,0.0010720421223455478
1->2,Disgust->Neutral,0.001753498405963596,0.06789999999999996,0.0017535703268866253,0.0013350667062097957,0.0013350667062097957
1->2,Disgust->Sad,0.001334955151774225,0.0849445266272189,0.0013352474454962331,0.0013496612326232339,0.0013496612326232339
1->2,Fear->Disgust,0.00036239499973609175,0.08217484423676008,0.0003625238545190059,0.0005227961050907629,0.0005227961050907629
1->2,Fear->Fear,0.00033718869021264787,0.06632121212121209,0.00033716930999539774,0.0007981095162482323,0.0007981095162482323
1->2,Fear->Happy,0.0013050839613781954,0.07092706203135649,0.0013050656646912643,0.0007157968526207122,0.0007157968526207122
1->2,Fear->Neutral,0.0004586730392514175,0.0678619047619047,0.00045859948801796997,0.00029737995712689723,0.00029737995712689723
1->2,Fear->Sad,0.0007861481945446961,0.08500862919132146,0.0007860038229899714,0.00031481192857680287,0.00031481192857680287
1->2,Happy->Disgust,0.0009848734747722912,0.08216316199376944,0.0009848036996353063,0.0012609543231116391,0.0012609543231116391
1->2,Happy->Fear,0.001284261705449856,0.06720909090909086,0.0012841262864320669,0.0015362677342691086,0.0015362677342691086
1->2,Happy->Happy,0.0003665320426643512,0.071042944785276,0.0003663255836197588,0.000606688096758746,0.000606688096758746
1->2,Happy->Neutral,0.0012251498882613308,0.068131746031746,0.0012250938483109996,0.000869712680622994,0.000869712680622994
1->2,Happy->Sad,0.001272753854728015,0.08534640039447727,0.0012727496889088866,0.0008868637309207405,0.0008868637309207405
1->2,Neutral->Disgust,0.0007332111628156202,0.08279984423676008,0.0007333518289996628,0.0011865948499390532,0.0011865948499390532
1->2,Neutral->Fear,0.0009713455148723123,0.06704848484848483,0.0009713038136183547,0.0014619082610965227,0.0014619082610965227
1->2,Neutral->Happy,0.001247547725178549,0.07152692569870481,0.0012472547191202245,0.0006872443506893654,0.0006872443506893654
1->2,Neutral->Neutral,0.00035916247520657066,0.06856825396825392,0.0003593483972609973,0.0007953532074504081,0.0007953532074504081
1->2,Neutral->Sad,0.000562169533385088,0.08502588757396445,0.0005622449661318078,0.0008099477338638463,0.0008099477338638463
1->2,Sad->Disgust,0.0023064477283899006,0.08213785046728968,0.002306336214164712,0.0020217177937860943,0.0020217177937860943
1->2,Sad->Fear,0.0025668058890557293,0.06601969696969692,0.002566448343316015,0.0022970312049435636,0.0022970312049435636
1->2,Sad->Happy,0.0017616838717941833,0.07106680299931831,0.0017617041453327595,0.0013674515674332011,0.0013674515674332011
1->2,Sad->Neutral,0.0020484755537893097,0.06775873015873012,0.002048323658906728,0.001630476151297449,0.001630476151297449
1->2,Sad->Sad,0.0016299322995999388,0.08454265285996052,0.0016300007775163362,0.0016450706777108872,0.0016450706777108872
1->3,Disgust->Disgust,0.001641044308036935,0.08220989096573202,0.0016408927887241632,0.0015808517333254668,0.0015808517333254668
1->3,Disgust->Fear,0.00292992669829347,0.06708030303030298,0.002930049829595295,0.0022735715753799297,0.0022735715753799297
1->3,Disgust->Happy,0.00168205214214302,0.0698841172460804,0.001682178297264161,0.0011770690082590295,0.0011770690082590295
1->3,Disgust->Neutral,0.0011791238920880452,0.06789999999999996,0.0011793000892488259,0.0012995907062958666,0.0012995907062958666
1->3,Disgust->Sad,0.0013553305460108005,0.0849445266272189,0.0013554559515230988,0.0013746451164724119,0.0013746451164724119
1->3,Fear->Disgust,0.000766101597465358,0.08217484423676008,0.0007660918185011772,0.0007248082992942493,0.0007248082992942493
1->3,Fear->Fear,0.0008450146302823224,0.06632121212121209,0.0008449005789549612,0.0011084833947621283,0.0011084833947621283
1->3,Fear->Happy,0.0010290828991235002,0.07092706203135649,0.0010292780928427957,0.0008158404042257116,0.0008158404042257116
1->3,Fear->Neutral,0.0009419794542308759,0.0678619047619047,0.0009419511792373786,0.0012636986608767003,0.0012636986608767003
1->3,Fear->Sad,0.0008838271545736672,0.08500862919132146,0.0008837195813182073,0.0009351714743019707,0.0009351714743019707
1->3,Happy->Disgust,0.0015969239735066417,0.08216316199376944,0.0015969032157560944,0.0014090187669031464,0.0014090187669031464
1->3,Happy->Fear,0.001910186112488722,0.06720909090909086,0.0019103517680554532,0.0019120378767609656,0.0019120378767609656
1->3,Happy->Happy,0.0007339852371750985,0.071042944785276,0.0007339699439370903,0.0011732250672873402,0.0011732250672873402
1->3,Happy->Neutral,0.0010127200913525257,0.068131746031746,0.0010127184040476527,0.0015768260278553729,0.0015768260278553729
1->3,Happy->Sad,0.0017433759330479875,0.08534640039447727,0.00174352291777523,0.0016167246104169559,0.0016167246104169559
