transition,emotion_pair,theta_stored,EER,theta_filter,theta_ica
1->2,Disgust->Disgust,0.001815582664642493,0.08220989096573202,0.0018156217808985554,0.001759405375983423
1->2,Disgust->Fear,0.0020573618160939404,0.06708030303030298,0.0020574629523733225,0.0019378531171400256
1->2,Disgust->Happy,0.0012662471145608919,0.0698841172460804,0.001266419616254001,0.001007932694047637
1->2,Disgust->Neutral,0.0018821409942098126,0.06789999999999996,0.001882240176632711,0.0015102938794647048
1->2,Disgust->Sad,0.0014991339210951807,0.0849445266272189,0.0014991915157623551,0.0013171450254063008
1->2,Fear->Disgust,0.0003680942728367609,0.08217484423676008,0.00036797176633247624,0.00046623812327189866
1->2,Fear->Fear,0.00040057422298962856,0.06632121212121209,0.00040036433219125845,0.0005968726990281274
1->2,Fear->Happy,0.0012580093909930333,0.07092706203135649,0.0012580171362630327,0.0009189681274583101
1->2,Fear->Neutral,0.00047564509977725023,0.0678619047619047,0.00047553062521232326,0.00033171344092003326
1->2,Fear->Sad,0.000429832690713082,0.08500862919132146,0.00043001307745651996,0.00035288393432998005
1->2,Happy->Disgust,0.0012697962882801173,0.08216316199376944,0.0012699311680198974,0.0016693695404718714
1->2,Happy->Fear,0.001642862264401267,0.06720909090909086,0.0016429306771442206,0.0018478172816284743
1->2,Happy->Happy,0.0007404097357004265,0.071042944785276,0.0007405506867320298,0.0009178968585360856
1->2,Happy->Neutral,0.0015197003686094567,0.068131746031746,0.0015197109375139888,0.0014202580439531536
1->2,Happy->Sad,0.0012385742619774125,0.08534640039447727,0.0012386564102485897,0.0012598303721708445
1->2,Neutral->Disgust,0.0006163076561258006,0.08279984423676008,0.0006162740825891976,0.0010500251119964017
1->2,Neutral->Fear,0.0006324148550740857,0.06704848484848483,0.000632516296014906,0.0012284728531530044
1->2,Neutral->Happy,0.001475305413951809,0.07152692569870481,0.0014751714757242462,0.0005974579871337847
1->2,Neutral->Neutral,0.0005139464000518477,0.06856825396825392,0.0005138768139584828,0.0008009136154776837
1->2,Neutral->Sad,0.0006118589368744962,0.08502588757396445,0.0006117720874359835,0.000695503700752367
1->2,Sad->Disgust,0.0020051402679745305,0.08213785046728968,0.002004953511634661,0.0021479568056329457
1->2,Sad->Fear,0.0022469194194259775,0.06601969696969692,0.002246794683109428,0.0023264045467895483
1->2,Sad->Happy,0.0016093731752353595,0.07106680299931831,0.001609211352836349,0.0013964841236971596
1->2,Sad->Neutral,0.00207169859754185,0.06775873015873012,0.0020715719073688163,0.0018988453091142276
1->2,Sad->Sad,0.0016886915244272182,0.08454265285996052,0.0016885232464984607,0.0017056964550558236
1->3,Disgust->Disgust,0.0018062283872387376,0.08220989096573202,0.0018062688411782882,0.0021937955723192863
1->3,Disgust->Fear,0.0030654978632337336,0.06708030303030298,0.0030652813387283965,0.003007542736401934
1->3,Disgust->Happy,0.001642231094861142,0.0698841172460804,0.0016422436498387174,0.001988146191947047
1->3,Disgust->Neutral,0.0017040893882796077,0.06789999999999996,0.001704224692445997,0.0018204586040068977
1->3,Disgust->Sad,0.0011425406090739367,0.0849445266272189,0.0011425585032846081,0.0017565834152693106
1->3,Fear->Disgust,0.00038200025503191715,0.08217484423676008,0.00038220024852307665,0.000852815154207388
1->3,Fear->Fear,0.001273617570793611,0.06632121212121209,0.0012730588623025376,0.001666562318290036
1->3,Fear->Happy,0.0009949036495329462,0.07092706203135649,0.0009949353788970394,0.0010369915300520072
1->3,Fear->Neutral,0.00011714608325067987,0.0678619047619047,0.0001171933866732193,0.0007566300522213725
1->3,Fear->Sad,0.0008080636209249686,0.08500862919132146,0.0008082951585770999,0.0007493205701246758
1->3,Happy->Disgust,0.0013487821017815825,0.08216316199376944,0.0013488493105326183,0.002103759736807735
1->3,Happy->Fear,0.0025197114868713575,0.06720909090909086,0.0025195907258497383,0.0029175069008903825
1->3,Happy->Happy,0.0011258524160702066,0.071042944785276,0.0011259840521906823,0.0018981103564354959
1->3,Happy->Neutral,0.0013630695362286658,0.068131746031746,0.0013631594445155768,0.0017304227684953465
1->3,Happy->Sad,0.0016087673773123336,0.08534640039447727,0.0016088954383685929,0.001667594516217296
1->3,Neutral->Disgust,0.0008606755335973486,0.08279984423676008,0.0008608380750528936,0.0014844153083322649
1->3,Neutral->Fear,0.0011841320546908465,0.06704848484848483,0.0011841466408687173,0.002298162472414913
1->3,Neutral->Happy,0.0013177109710533653,0.07152692569870481,0.001317722581825677,0.0012787659279600257
1->3,Neutral->Neutral,0.0004784912785673518,0.06856825396825392,0.00047841382848025463,0.0011110783400198766
1->3,Neutral->Sad,0.0011444133322275653,0.08502588757396445,0.001144675918891597,0.0011095418151769718
1->3,Sad->Disgust,0.001995785990570775,0.08213785046728968,0.0019956005719143936,0.002582347001968809
1->3,Sad->Fear,0.0032550554665657706,0.06601969696969692,0.0032546130694645014,0.003396094166051457
1->3,Sad->Happy,0.0018317886981931795,0.07106680299931831,0.001831575380574823,0.00237669762159657
1->3,Sad->Neutral,0.0018936469916116451,0.06775873015873012,0.0018935564231821027,0.0022090100336564205
1->3,Sad->Sad,0.0012122333240530009,0.08454265285996052,0.001212003983291274,0.0021451348449188336
