test_session,enroll_emotion,test_emotion,theta_stored,EER,theta_power_drift,theta_filter,theta_ica
2,Disgust,Disgust,0.0007772466389551043,0.08220989096573202,0.0007772466389551,0.0007772676103437942,0.0006773450422943344
2,Disgust,Fear,0.0006363930424586644,0.06708030303030298,0.0006363930424586,0.0006364694341928469,0.0006264147420768577
2,Disgust,Sad,0.000651521588276539,0.0849445266272189,0.0006515215882765,0.0006515722500071642,0.0010014673085173675
2,Disgust,Neutral,0.0008778854373044199,0.06789999999999996,0.0008778854373044,0.0008778949689474843,0.0007759863848886668
2,Disgust,Happy,0.001287334352465612,0.0698841172460804,0.0012873343524656,0.0012873474575046985,0.00101194521578561
2,Fear,Disgust,0.0011095031885252813,0.08217484423676008,0.0011095031885252,0.0011094839799971814,0.0014593953610442223
2,Fear,Fear,0.00066842411400839,0.06632121212121209,0.0006684241140083,0.0006683888756448316,0.0010303115743833277
2,Fear,Sad,0.0014691034187784512,0.08500862919132146,0.0014691034187784,0.0014691606640727043,0.0018862288533931684
2,Fear,Neutral,0.001077644699918372,0.0678619047619047,0.0010776446999183,0.001077423259128063,0.0015237839997834745
2,Fear,Happy,0.0019851053521657974,0.07092706203135649,0.0019851053521657,0.001985142243626927,0.0018855020453754285
2,Sad,Disgust,0.0011278464713887798,0.08213785046728968,0.0011278464713887,0.001127982933429025,0.0007031445158645511
2,Sad,Fear,0.0010300987677293876,0.06601969696969692,0.0010300987677293,0.0010302609098809096,0.0006522142156470744
2,Sad,Sad,0.0007524940639822963,0.08454265285996052,0.0007524940639822,0.0007525926644337318,0.000746166690563162
2,Sad,Neutral,0.0011448505157161328,0.06775873015873012,0.0011448505157161,0.001145136284287131,0.0007594660284840283
2,Sad,Happy,0.0015641582098656465,0.07106680299931831,0.0015641582098655997,0.0015643535813848885,0.001034716773401237
2,Neutral,Disgust,0.000577377478059913,0.08279984423676008,0.0005773774780599,0.00057733527806011,0.0006615782051258498
2,Neutral,Fear,0.0006660712849614874,0.06704848484848483,0.0006660712849614,0.0006660135207875149,0.0007301277436670802
2,Neutral,Sad,0.00043662187443780054,0.08502588757396445,0.0004366218744378,0.00043676922408243045,0.0008139362131866317
2,Neutral,Neutral,0.0005556609614619189,0.06856825396825392,0.0005556609614619,0.0005558023406636136,0.0007178997177453271
2,Neutral,Happy,0.001250749324182314,0.07152692569870481,0.0012507493241823,0.0012507083692720957,0.0007566366012075124
2,Happy,Disgust,0.0007717071799561371,0.08216316199376944,0.0007717071799561,0.0007715168431223857,0.0008252139491516918
2,Happy,Fear,0.0013268675134029406,0.06720909090909086,0.0013268675134029,0.0013266412652141988,0.0010915600423080226
2,Happy,Sad,0.0009096364634821101,0.08534640039447727,0.0009096364634821,0.0009094241241525316,0.0010929214734850185
2,Happy,Neutral,0.0010241177199142317,0.068131746031746,0.0010241177199142,0.001023897813588736,0.0009219297424091824
2,Happy,Happy,0.0006265237495037057,0.071042944785276,0.0006265237495037,0.0006265668830435199,0.000756086834285054
3,Disgust,Disgust,0.001578093280217478,0.08220989096573202,0.0015780932802174,0.0015780653050612825,0.0026820625184059495
3,Disgust,Fear,0.0004255104610430341,0.06708030303030298,0.000425510461043,0.0004255163150706464,0.0013641514710061961
3,Disgust,Sad,0.002189010128911053,0.0849445266272189,0.002189010128911,0.0021889374114661686,0.003261723283988734
3,Disgust,Neutral,0.0009489912639505091,0.06789999999999996,0.0009489912639504999,0.0009490218634406733,0.0014374424065906725
3,Disgust,Happy,0.0013262261015673474,0.0698841172460804,0.0013262261015673,0.0013261306964393177,0.0021908990240522793
3,Fear,Disgust,0.0027524342638484784,0.08217484423676008,0.0027524342638484,0.0027524781224894383,0.00356682406328175
3,Fear,Fear,0.0010117502118061699,0.06632121212121209,0.0010117502118061,0.0010115861548997823,0.002248913015881997
3,Fear,Sad,0.003363351112542054,0.08500862919132146,0.0033633511125419997,0.003363350228894324,0.004146484828864535
3,Fear,Neutral,0.0011973069182464047,0.0678619047619047,0.0011973069182464,0.001197245831246533,0.0023222039514664734
